GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_body_part_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00000154	左足
GID00000155	右足
GID00000156	胴体
GID00000157	右腕
GID00000158	左腕
GID00000159	頭部
GID00000160	頭部
GID00000161	胴体
GID00000162	左腕
GID00000163	左足
GID00000164	右足
GID00000165	右腕
GID00000166	頭部
GID00000167	胴体
GID00000168	左腕
GID00000169	左足
GID00000170	右足
GID00000171	右腕
GID00000172	右腕
GID00000173	右足
GID00000174	左足
GID00000175	左腕
GID00000176	胴体
GID00000177	頭部
GID00000184	右腕
GID00000185	右足
GID00000186	左足
GID00000187	左腕
GID00000188	胴体
GID00000189	頭部
GID00000190	頭部
GID00000191	胴体
GID00000192	左腕
GID00000193	左足
GID00000194	右足
GID00000195	右腕
GID00000196	右足
GID00000197	右足
GID00000198	右足
GID00000199	右足
GID00000200	左足
GID00000201	左足
GID00000202	左足
GID00000203	左足
GID00000204	右爪
GID00000205	左爪
GID00000206	針
GID00000207	胴体
GID00000208	頭部
GID00000209	胴体
GID00000210	左腕
GID00000211	左足
GID00000212	右足
GID00000213	右腕
GID00000214	枝
GID00000215	右腕
GID00000216	左足
GID00000217	左足
GID00000218	左腕
GID00000219	右足
GID00000220	右足
GID00000221	右足
GID00000222	アンテナ
GID00000223	胴体
GID00000224	頭部
GID00000225	エンクレイヴ洗脳装置
GID00000226	頭部
GID00000227	胴体
GID00000228	左腕
GID00000229	左足
GID00000230	右足
GID00000231	右腕
GID00000232	胴体
GID00000233	右翼
GID00000234	左翼
GID00000235	頭部
GID00000236	脳
GID00000237	針
GID00000238	胴体
GID00000239	右翼
GID00000240	右翼
GID00000241	左翼
GID00000242	左翼
GID00000243	左足
GID00000244	左足
GID00000245	左足
GID00000246	右足
GID00000247	右足
GID00000248	右足
GID00000249	アンテナ
GID00000250	頭部
GID00000251	胴体
GID00000252	外殻
GID00000253	標的回路
GID00000254	頭部
GID00000255	胴体
GID00000256	左腕
GID00000257	ホイール
GID00000258	右腕
GID00000259	アンテナ
GID00000261	頭部
GID00000262	右足
GID00000263	右足
GID00000264	左足
GID00000265	左足
GID00000266	胴体
GID00000267	頭部
GID00000268	胴体
GID00000269	左腕
GID00000270	左脚
GID00000271	右足
GID00000272	右腕
GID00000273	尻尾
GID00000274	頭部
GID00000275	右後肢
GID00000276	右前肢
GID00000277	左後肢
GID00000278	左前脚
GID00000279	胴体
GID00000280	右足
GID00000281	右足
GID00000282	左足
GID00000283	左足
GID00000284	胴体
GID00000285	頭部
GID00000286	頭部
GID00000287	右後肢
GID00000288	右前肢
GID00000289	左後肢
GID00000290	左前脚
GID00000291	胴体
GID00000292	頭部
GID00000293	右足
GID00000294	右足
GID00000295	左足
GID00000296	左足
GID00000297	胴体
GID00000298	戦闘制御装置
GID00000299	右駆動部
GID00000300	左駆動部
GID00000301	胴体
GID00000302	頭部
GID00000303	右腕
GID00000304	左腕
GID00000305	頭部
GID00000306	右足
GID00000307	右足
GID00000308	右足
GID00000309	左足
GID00000310	左足
GID00000311	左足
GID00000312	胴体
GID00000313	アンテナ
GID00000314	頭部
GID00000315	戦闘制御装置
GID00000316	レーザー照射装置
GID00000317	防具
GID00000318	センサー
GID00000319	センサー
GID00000320	センサー
GID00000321	アーマー
GID00000322	腕
GID00000323	腕
GID00000324	腕
GID00000325	エンジン
GID00000327	頭部
GID00000328	胴体
GID00000329	左腕
GID00000330	左脚
GID00000331	右足
GID00000332	右腕
GID00000333	右足
GID00000334	右足
GID00000335	右足
GID00000336	右足
GID00000337	左足
GID00000338	左足
GID00000339	左足
GID00000340	左足
GID00000341	右爪
GID00000342	左爪
GID00000343	針
GID00000344	胴体
GID00000345	足
GID00000346	左腕
GID00000347	胴体
GID00000348	右腕
GID00000349	頭部
GID00000350	戦闘制御装置
GID00000351	頭部
GID00000352	胴体
GID00000353	左足
GID00000354	左足
GID00000355	右足
GID00000356	右足
GID00000357	右腕
GID00000358	右足
GID00000359	左脚
GID00000360	左腕
GID00000361	胴体
GID00000362	頭部
GID00000369	胴体
GID00000370	右腕
GID00000371	右足
GID00000372	左腕
GID00000373	左脚
GID00000374	頭部
GID00000375	頭部
GID00000376	胴体
GID00000377	左足
GID00000378	左足
GID00000379	右足
GID00000380	右足
GID00000381	右足
GID00000382	左足
GID00000383	左足
GID00000384	左足
GID00000385	左足
GID00000386	右足
GID00000387	右足
GID00000388	右足
GID00000389	アンテナ
GID00000390	胴体
GID00000391	頭部
GID00000392	右腕
GID00000393	右足
GID00000394	左脚
GID00000395	左腕
GID00000396	胴体
GID00000397	顔
GID00000398	頭
GID00000399	頭
GID00000400	右足
GID00000401	左足
GID00000402	右足
GID00000403	左足
GID00000404	胴体
GID00000405	右足
GID00000406	右足
GID00000407	左足
GID00000408	左足
GID00000409	胴体
GID00000410	頭部
GID00000411	フレーム
GID00000412	レンズ
GID00000413	戦闘制御装置
GID00000414	センサー
GID00000415	センサー
GID00000416	センサー
GID00000417	アーマー
GID00000418	腕
GID00000419	腕
GID00000420	腕
GID00000421	エンジン
GID00000422	エンジン
