GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_description_en.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00000458	Strength is a measure of your raw physical power. It affects how much you can carry, the power of all melee attacks, and your effectiveness with many heavy weapons.
GID00000459	A high Perception grants a bonus to the Explosives, Lockpick and Energy Weapons skills, and determines when red compass markings appear (which indicate threats).
GID00000460	Endurance is a measure of your overall physical fitness. A high Endurance gives bonuses to health, environmental resistances, and the Survival and Unarmed skills.
GID00000461	Having a high Charisma will improve people's disposition toward you, and give bonuses to both the Barter and Speech skills.
GID00000462	Intelligence affects the Science, Repair and Medicine skills. The higher your Intelligence, the more Skill Points you'll be able to distribute when you level up.
GID00000463	Agility affects your Guns and Sneak skills, and the number of Action Points available for V.A.T.S.
GID00000464	Raising your Luck will raise all of your skills a little. Having a high Luck will also improve your critical chance with all weapons.
GID00000465	The Barter skill affects the prices you get for buying and selling items. In general, the higher your Barter skill, the lower your prices on purchased items.
GID00000467	The Energy Weapons skill determines your effectiveness with any weapon that uses Small Energy Cells, Micro Fusion Cells, EC Packs, or Flamer Fuel as ammunition.
GID00000468	The Explosives skill determines the ease of disarming any hostile mines and the effectiveness of any explosive weapon (all mines, all grenades, Missile Launcher, Fat Man, etc.).
GID00000469	The Lockpick skill is used to open locked doors and containers.
GID00000470	The Medicine skill determines how many Hit Points you'll replenish upon using a Stimpak, and the effectiveness of Rad-X and RadAway.
GID00000471	The Melee Weapons skill determines your effectiveness with any melee weapon, from the simple lead pipe all the way up to the high-tech Super Sledge.
GID00000472	The Repair skill allows you to maintain any weapons and apparel. In addition, Repair allows you to create items and Guns ammunition at reloading benches.
GID00000473	The Science skill represents your combined scientific knowledge, and is primarily used to hack restricted computer terminals. It can also be used to recycle Energy Weapon ammunition at workbenches.
GID00000474	Guns determines your effectiveness with any weapon that uses conventional ammunition (.22 LR, .357 Magnum, 5mm, 10mm, 5.56mm, .308, .45-70 Gov't etc.).
GID00000475	The higher your Sneak skill, the easier it is to remain undetected, steal an item, or pick someone's pocket. Successfully attacking while undetected grants an automatic critical hit.
GID00000476	The Speech skill governs how much you can influence someone through dialogue, and gain access to information they might otherwise not want to share.
GID00000477	The Survival skill increases the Hit Points you receive from food and drink. It also helps you create consumable items at campfires.
GID00000478	The Unarmed skill is used for fighting without a weapon, or with weapons designed for hand-to-hand combat, like Brass Knuckles, Power Fists, and Displacer Gloves.
GID00000479	Despite relying on energy to harm their victims, Plasma Mines, EMP Grenades, and related items use the Explosives skill to determine their effectiveness.
GID00000480	EFFECT: When eaten, temporarily knocks out animals.
GID00000481	Used for medical services.
GID00000482	Super Mutants in the Mojave Wasteland are remnants of the Master's Army and the Enclave's experiments at Mariposa Military Base.
GID00000483	Dogs and coyotes can be found throughout the Mojave, typically wherever humans are traveling.
GID00000484	Despite the best efforts of well-equipped hunters, Deathclaws continue to establish nests across the Mojave Wasteland.
GID00000485	Securitrons are a creation of Mr. House, the enigmatic de facto ruler of New Vegas.
GID00000486	Feral Ghouls have lost the ability to reason, and will attack any human on sight.
GID00000487	Ghouls, both "normal" and Feral, are not only immune to radiation... they're healed by it.
GID00000488	A Glowing One is a unique Feral Ghoul that has become a living conduit of radiation.
GID00000489	Lakelurks use a devastating sonic attack to debilitate their foes from afar.
GID00000490	The Mister Gutsy model of robot was commissioned by the U.S. Army just before the atomic apocalypse of 2077.
GID00000491	The sturdy Protectron model of robot was created before the great war, and served as a security automaton in both the private and business sectors.
GID00000492	The Robobrain, constructed by General Atomics International before the great nuclear war, is unique in that it uses an actual organic brain as its central processor.
GID00000493	This recipe allows you to make Ruby's spicy casserole.
GID00000494	Agility improves the speed of weapon reloads, drawing, and holstering.
GID00000495	A Glowing One uses its special ability to deliver radiation to its enemies and heal any nearby Feral Ghouls.
GID00000496	Mister Gutsy is a combat variant of the popular Mister Handy, and is equipped with a Plasma weapon and flamethrower.
GID00000497	If someone sees you commit a crime against their faction, expect your reputation with that group to suffer.
GID00000498	Sleeping in a rented or owned bed will give you a "Well Rested" bonus that boosts your earned XP for several hours.
GID00000499	Intelligence determines your effectiveness with the Science, Repair and Medicine skills.
GID00000500	The Medicine skill determines the effectiveness of drugs that help manage radiation, like Rad-X and RadAway.
GID00000501	Perception determines when red tick marks (which indicate threats) appear on your compass.
