GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_description_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00000458	Strength: 肉体的な力の指標となります。持ち運べる荷物の量、全ての近接攻撃の威力、そして大型武器使用時の威力に影響します。
GID00000459	Perception: Explosives、Lockpick、Energy Weapons の各スキルにボーナスがつくのに加え、危険を表す赤いコンパスマーカーが表示される距離が決まります。
GID00000460	Endurance: 肉体の頑丈さを表します。高い耐久力は 健康、環境の抵抗、そして Survival と Unarmed の両スキルにボーナスがつきます。
GID00000461	Charisma: 人々の反応が友好的になり、Barter と Speech の両スキルにボーナスがつきます。
GID00000462	Intelligence: Science、Repair、Medicine の各スキルに影響します。Intelligence が高ければ高いほど、レベルアップ時に配分できるスキルポイントが多くなります。
GID00000463	Agility: Guns と Sneak の両スキル、およびV.A.T.S.に使えるアクションポイントの数に影響します。
GID00000464	Luck: 全てのスキルが少しだけ上昇します。Luck が高ければ全ての武器のクリティカル率が上昇します。
GID00000465	Barter: アイテムの売買価格に影響します。通常、Barter スキルが高ければ高いほどアイテムを安く購入できます。
GID00000467	Energy Weapons: エナジーセル、マイクロフュージョンセル、充電パック、火炎放射器燃料を使用する武器の威力に影響します。
GID00000468	Explosives: 敵地雷の解除を容易にしたり爆発物の威力に影響します。(地雷、グレネード、ミサイルランチャー、ファットマンなど)
GID00000469	Lockpick:施錠された扉やコンテナを開錠するのに使います。
GID00000470	Medicine: スティムパック使用時に回復する体力の量や、Rad-X と RAD アウェイの効果に影響します。
GID00000471	Melee Weapons: 単純な金属パイプからハイテク武器のスーパースレッジまで、あらゆる近接武器使用時の威力に影響します。
GID00000472	Repair: 武器および服の修理を可能にします。さらにリロードベンチでアイテム作成や弾薬の作成も可能にします。
GID00000473	Science: 総合的な理系知識の高さを表していて、主にアクセス制限のかかっているターミナルのハッキング能力に影響します。また、作業台でエネルギーウェポン弾薬のリサイクルを可能にします。
GID00000474	Guns: 通常弾薬を用いる武器の威力に影響します。(.22LR弾、.357 マグナム弾、5mm 弾、10mm 弾、5.56mm 弾、.308 弾、.45-70G 弾など)
GID00000475	Sneak: 敵に気づかれずに行動したり、アイテムを盗んだり、誰かの持ち物をスリ行為で奪う能力に影響します。相手に気づかれていない状態で攻撃を成功させれば、確実にクリティカルが発生します。
GID00000476	Speech: 対話によって相手にどこまで影響を与え、通常なら教えてもらえないような情報を引き出すことができるかを決める要素となります。
GID00000477	Survival: 食物や飲物で得られる HP の回復量が増加します。またキャンプファイアでのアイテム作成を容易にします。
GID00000478	Unarmed: 武器なしで戦う時や、格闘戦用に作られたブラスナックルやパワーフィストなどの特殊な近接武器使用時の威力に影響します。
GID00000479	プラズマ地雷やパルス・グレネードはエネルギー系の攻撃を行いますが、Energy Weapon スキルではなく Explosives スキルの値が使用されます。
GID00000480	効果: 食べた時、一時的に動物を気絶させることできます。
GID00000481	医療行為に使用されます。
GID00000482	Mojave Wasteland にいるスーパーミュータントの由来は マスター軍 の生き残りとマリポーサ軍事基地における Enclave の実験によるものです。
GID00000483	人が旅する場所には大抵、野犬やコヨーテを見かけることが出来ます。
GID00000484	熟練した武装ハンター達の最善の努力にもかかわらず、デスクローは Mojave Wasteland 中に巣を作り続けています。
GID00000485	Securitron は Mr. House の創造物で、得体の知れない、事実上の New Vegas の支配者です。
GID00000486	フェラル・グールは理性を失っており、人間を見つけ次第襲いかかってくるでしょう。
GID00000487	グールは「通常」のものもフェラル・グールも含め、放射能に耐性があるどころか、その影響で体力が回復してしまうようです。
GID00000488	グローイング・グールはフェラル・グールの一種で、歩く放射能伝達装置といえる体質になっています。
GID00000489	Lakelurk は敵を弱らせるために遠くから破壊的超音波で攻撃してきます。
GID00000490	Mr. ガッツィー型のロボットは 2077 年の全面核戦争の直前に米陸軍によって採用されていたものです。
GID00000491	頑丈なプロテクトロン型のロボットは最終戦争前に作られたもので、個人および企業の保安用ロボットとして使われていました。
GID00000492	核大戦前にゼネラル・アトミックス・インターナショナル社によって製造されたロボブレインは中枢プロセッサとして生身の有機脳を使っている点が特徴といえるでしょう。
GID00000493	このレシピで、Ruby のピリ辛シチュー鍋が作れるようになった。
GID00000494	Agility は、リロード速度や武器の出し入れする早さを向上させます。
GID00000495	グローイング・グールは放射能を照射する特殊能力を持っており、近くのフェラル・グールを治癒することができます。
GID00000496	Mr. ガッツィーは人気モデル「Mr. ハンディ」の戦闘用バージョンで、プラズマ系の武器と火炎放射器を装備しています。
GID00000497	もし誰かに彼らの派閥への犯罪を見られたなら、そのグループのあなたの評判は悪くなるでしょう。
GID00000498	借りたベッド、もしくは自分のベッドで眠ると、以後数時間の間、獲得経験値に Well Rested ボーナスがつきます。
GID00000499	Intelligence は Science、Repair、Medicine の各スキルの効果に影響します。
GID00000500	Medicine スキルは放射能の効果を抑える、Rad-X や RAD アウェイなどの効果に影響します。
GID00000501	Perception の高さで (危険と遭遇した際の) 赤いコンパスマーカーが表示される距離が決まります。
GID00000502	Animal Friend の能力をランク 2 まで取得すると、動物が戦闘に加勢してくれます。ただし攻撃対象は動物以外の敵に限られます。
GID00000503	武器や防具の状態が悪くなると、十分な性能が発揮できません。Repair スキルは修理に役立つスキルです。
GID00000504	物音をたてないように、物陰を使いながらゆっくりと移動して、敵の背後に回り込みましょう。Pip-Boy のライトを消すことをお忘れなく!
GID00000505	Robotics Expert の能力があれば、敵のロボットに気づかれることなく接近して動きを停止させることができます。
GID00000506	安全なベッドで眠って元気に目覚めれば、以後数時間の獲得経験値が 10% 増加します。
GID00000507	アリの力: あなたは遺伝子操作によりグレイディッチ・ファイヤーアントの強靭な力、そして火炎耐性を身につけています。Strength が 1 上昇し、25% の火炎耐性を得ます。
GID00000508	アリの視界: あなたは遺伝子操作によりグレイディッチ・ファイヤーアントの鋭敏な感覚、そして火炎耐性を身につけています。Perception が 1 上昇し、25% の火炎耐性を得ます。
GID00000509	一般的に Barter が高いほど物を安く買えます。また、会話時に交渉してより良い報酬を得ることも可能です。
GID00000510	エネルギー兵器: エナジーセル、マイクロフュージョンセル、充電パック、MFブリーダー、火炎放射器燃料を使用する武器の威力に影響します。
GID00000511	Explosives スキルは、敵地雷の解除を容易にしたり爆発物の威力に影響します。(地雷、グレネード、ミサイルランチャー、ファットマンなど)
GID00000512	フェラル・グール・リーバーの視覚効果を追加します
GID00000513	[CRLF]鋼の勇気: アクションポイントの回復速度が通常より大幅に増加します。
GID00000514	[CRLF]放射能吸収: この能力があれば、あなたの放射線レベルは自然に低下していきます。
GID00000515	Cass はすべての Guns でのダメージが 15% 増加する。
GID00000516	Cass の体力が +50 された。
GID00000517	[CRLF]血に執着する者: この能力があれば血液パックを消費することで体力を回復できます。
GID00000518	[CRLF]子供の心: しばしば独自の会話選択肢が提示されるという形で子供たちとのやりとりが大幅に向上します。
GID00000519	Pip-Boy ボタンを押したままにすることで Pip-Boy のライトを点けたり消したりできます。
GID00000520	Pip-Boy のライトをつけていると目立ちやすくなってしまいます。確実なスニーキングを心がける場合は消しておきましょう。
GID00000521	[CRLF]Meat of Champions: 各勢力のリーダーの死体を食べた時、CaesarからIntelligence、Mr. HouseからLuck、The KingからCharisma、President KimballからStrengthを獲得することができます
GID00000522	[CRLF]Loose Cannon: Frag GrenadesからThrowing Spearsまで、投げて使うタイプの武器の射程距離が25%減少し、投擲速度が30%上昇します。
GID00000523	[CRLF]夜の友達: 暗い場所に行った時やwastelandが夜に落ちた時にすぐさま眼を慣らす事ができます。
GID00000524	[CRLF]あなたの人間的魅力による影響は、コンパニオンの不屈の忠誠心をさらに引き出します。あなたのHealthが50%以下になった時、コンパニオンは一時的に被ダメージを大幅に減らします。
GID00000525	[CRLF]仲間に与えるダメージが大幅に減少します。もう思う存分危険な射撃ができます。
GID00000526	[CRLF]気まぐれでふざけた射撃とは手を切って下さい。真ん中へ一撃で、彼らは倒れます。V.A.T.S.での胴体を標的とした攻撃に15%の追加ダメージを与えます。
GID00000527	[CRLF]オタクの怒り! : あなたは今まで虐げられてきた。今その怒りが目覚める! Healthが20%以下になると、Strengthが10に上昇し、DTに+15ボーナスを得ます。
GID00000528	[CRLF]鉛の腹: 放射能に汚染された食料や水を摂取した時に、受ける放射能の影響が50%軽減されます。
GID00000529	[CRLF]パラライズ・パーム: 素手状態でのV.A.T.S.時にたまに特殊な攻撃を繰り出し、敵を30秒間マヒさせることができます。なお、パラライズ・パームは一切武器を装備していない状態でないと発動しません。
GID00000530	[CRLF]集中射撃: V.A.T.S.時にそれぞれの体の部位に攻撃が当たる確率が、その部位に攻撃が命中するたびに少しずつ上昇していきます。
GID00000531	[CRLF]侵入: 錠が破壊され、通常ならこれ以上カギ開けができない状態になってしまっていても、もう1度だけカギ開けを試みることができます。これは以前に「こじ開ける」を試みて破壊してしまったカギにも有効です。
GID00000532	[CRLF]激しい訓練: 1ランク取得するたびに、S.P.E.C.I.A.L.システムの能力値どれか1つを選び、1ポイントだけ永続的に増加させることができます。
GID00000533	[CRLF]あなたの広範囲な爆発物への知識は、爆発物から受けるダメージを低下させます。爆発物に対してDTが25上昇します。--もちろん、自分で設置したものも含めて。
GID00000534	[CRLF]反射神経: 連邦の最新テクノロジーによって反応速度が向上し、V.A.T.S.モードでの命中率がアップしました。
GID00000535	[CRLF]The Slayer ここに降臨! 全ての Melee Weapons および Unarmed による攻撃は30%上昇します。
GID00000536	[CRLF]あなたの格闘技は伝説となるでしょう。全ての Melee Weapons および Unarmed による攻撃は、敵の防御を通り越して多大なダメージを与えます。
GID00000537	[CRLF]あなたは近接武器や格闘攻撃に対しDT+5のボーナスを得ます。また、戦闘中にノックダウンすることがなくなります。
GID00000538	[CRLF]あなたは放射能の申し子。圧倒的なまでに放射能障害を克服したあなたは、より強靭にそしてより健康的になります。
GID00000539	Barterを利用してアイテム販売をする。
GID00000540	スティムパックによる回復量
GID00000541	食事で回復する。
GID00000542	スロットで遊ぶ。
GID00000543	ブラックジャックで遊ぶ。
GID00000544	ルーレットで遊ぶ。
GID00000545	Caravanで勝利しました。
GID00000546	Caravanで負けました。
GID00000547	[CRLF]小さなレーザーピストルから巨大なガトリングレーザーまでの全レーザー武器であなたは+15%のダメージボーナスと+10%のクリティカル率上昇効果を得ます。
