GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_dialogue_en.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00001017	You have quite the menagerie at your disposal. If you can get the posse down to "small gang" size, I'll happily go with you.
GID00001018	As the old saying goes, two's company, but three's a small army. Okay, I'm paraphrasing a bit, but you get the idea.
GID00001019	A courier, a doctor, and cybernetic dog. After we deal with this whole "imminent conquest of New Vegas" problem we should open an act at the Tops.
GID00001020	There's something about that robot that doesn't seem... all right to me. I'm not saying we shouldn't take it with us.
GID00001021	I'm just saying that if it were to fall into Lake Mead and be irreparably damaged... and if you threw an EMP grenade in after it...
GID00001022	Well, there are worse things happening in the world, right?
GID00001023	After spending thirty years of my life hiding my association with the Enclave, I'd love to stroll the wasteland with a twitchy Eyebot.
GID00001024	Thanks for asking. I appreciate it. I do.
GID00001025	Back in your good graces again? I knew you'd see the light.
GID00001026	I don't think you need to worry about the specifics. Basically, expect a lot of firepower and dead bodies.
GID00001027	Enclave technology is even more advanced than Brotherhood equipment, and in the hands of soldiers as experienced as Moreno and the others...
GID00001028	Let's just say it's truly a sight to behold.
GID00001029	You'll need someone to watch your back - Craig Boone, an NCR sniper, will be joining you. Keep your head down out there!
GID00001030	A pity. I guess I'll have to find some other way to acquire her caravan's assets. Thanks for letting me know.
GID00001031	Told you everything about us, did he? Well, it's been a while since I've had my hands on the controls of a vertibird.
GID00001032	There's a chance I could crash us in the middle of Lake Mead - that place seems to attract aircraft, for some reason.
GID00001033	But, if I'll get one more chance to fly, count me in. I'll be there. My part of the pass phrase is "Dear."
GID00001034	Been awhile, Arcade. So, what's the point of all this? Can't find any younger mercenaries?
GID00001035	Arcade, huh? Heard he was with the Followers of the Apocalypse. So, what's the point of all this? Can't find any younger mercenaries?
GID00001036	Corporal White? I don't know where he - uh, I mean, never heard of him. Uh, I gotta go...
GID00001037	I expect results sooner rather than later.
GID00001038	They'll be of no use to the Legion, then.
GID00001039	You squandered a potentially valuable resource. Do better with your next assignment or there will be trouble...
GID00001040	Good. It will be valuable to have allies on the Strip when Hoover Dam is taken. Now, as for your next assignment...
GID00001041	You've been resourceful in the past. Why are you a failure now?
GID00001042	You'd best step up your performance with this next assignment...
GID00001043	Then get to it.
GID00001044	A perfectly satisfactory way of resolving the threat they posed. It's impressive that you made it through their barrage.
GID00001045	Now, as for your next assignment...
GID00001046	Good. Make sure they help the Legion when the time comes. As for your next assignment...
GID00001047	Yeah, all right. If McLafferty complains long enough, my folks might haul me back to California just to shut her up. Tell the old hag I'm gone.
GID00001048	Simple enough to change. I doubt the Legion's listening in on us - they're not that sophisticated - but better safe than sorry, right?
GID00001049	Very well. You can tell Reyes that this station is secure.
GID00001050	What, again? Didn't I just change those damn things? All right, fine - show me the new codes.
GID00001051	Oh. Uh... well, yeah, I can do that. Um, thanks.
GID00001052	You must be mistaken - I haven't filed any report like that. Trained deathclaws? I would have remembered that.
GID00001053	If someone is saying I filed that report, that's a load of crap. I won't have my name attached to a clerical error.
GID00001054	Good. I'm sure you were thorough. Here's your payment for a job well done.
GID00001055	Shit. Is he serious? The 25% increase in weapons is doable, but a 50% increase in ammunition is nuts.
GID00001056	We just don't have the supplies on hand to meet that kind of demand for new weapons.
GID00001057	Well, you've proven yourself reliable so far. Would you be interested in more important jobs?
GID00001058	Yes, I'd heard something about his untimely death. There will be a lot of questions from his family, so I trust you had nothing to do with this.
GID00001059	I guess the one bright spot is that I can strike his name from the payroll after all.
GID00001060	Yes, but at significant cost. I understand that you not only agreed that the company pay off his gambling debts, but he also gets severance.
GID00001061	I'm disappointed with this outcome, but what's done is done. At least we're rid of Henry.
GID00001062	Yes, I understand that he's decided to quit outright and not even ask for compensation. I'm a bit curious what exactly you said to him.
GID00001063	Then again, perhaps I'd rather not know. Thank you all the same - I'm very happy to be rid of that man.
GID00001064	Yes, I heard. I believe we're now responsible for paying off his gambling debts, but that you bargained him down from a more outrageous demand.
GID00001065	Well done. I'm very pleased to be rid of that man.
GID00001066	Very good. On occasion it's proven to be more profitable in the long run to simply buy out the competition, and this is one of those occasions.
GID00001067	The Gun Runners detected an intruder roaming around, so they'll like be aware of the theft soon enough.
GID00001068	This unfortunate circumstance will prevent us from immediately using their blueprints to manufacture weapons. A pity.
GID00001069	The Gun Runners will be looking for revenge for the murder of their people. I won't sell you out, but be careful out there.
GID00001070	We'll be unable to make use of their schematics any time soon. Not what I was hoping for when I asked you to do the job. Take your pay.
GID00001071	I hear it's business as usual at the Gun Runners, as if nothing unusual happened. Excellent work.
GID00001072	We'll be able to use the schematics you acquired to begin manufacturing our own weapons immediately. We'll provide some to you at a discount.
GID00001073	I can probably handle that. Just the same as changing a light bulb, except stickier and smellier. Right?
GID00001074	Anyway, what did you bring me?
GID00001075	That puts a dent in the town treasury. If that's what it takes to be rid of them...
GID00001076	Whoa, whoa. Thought you looked familiar. I'm just doing a job, nothing more. Politics aren't my thing, so if you say go, we'll go. No hard feelings.
GID00001077	Because you're a friend of the Followers, I can give you a bit of a discount.
GID00001078	Very well.
GID00001079	Thought I recognized the fellow with you. So, what's this reunion all about, then?
GID00001080	There's a name I haven't heard in awhile. So, what's this reunion all about, then?
GID00001081	Hello, Arcade. Making some new friends, are you?
GID00001082	Why the need for a bunch of old warhorses like us?
GID00001083	Why the need for a bunch of old warhorses like us?
GID00001084	Antique rangefinder? I'm trying to think of something that'd be more worthless.
GID00001085	Maybe an antique horoscope. Or an antique sandwich.
GID00001086	I'll tell you something. Good luck finding that thing. But if you do find it, don't waste your time trying to sell it to me.
GID00001087	All right, that's a start. But now you have to convince them to support my Legion.
GID00001088	Tell them they'll be allowed to continue practicing their dietary habits without interruption. They can eat a portion of what they conquer.
GID00001089	Good. Your first challenge will be to reach their settlement without getting blown up. After that, should be easy.
GID00001090	[SUCCEEDED] And you think the value of their attack on HELIOS, the chaos it will sow behind the Profligates' lines, is worth letting them live.
GID00001091	All right, let it be so. The Brotherhood will have to be dealt with eventually, but for the moment, they live to serve.
GID00001092	[FAILED] And you think they'll stop at that? How long before they attack the dam, or Vegas?
GID00001093	The risks outweigh the rewards. Go back to their bunker and finish the job.
GID00001094	Good. I don't know what kind of security he has inside the Lucky 38, but if you can find a way of catching him off-guard, do so.
GID00001095	Is that right? You are good, aren't you?
GID00001096	If the Boomers are out of the picture, I can focus on other preparations - but not without first rewarding your initiative. Now moving on...
GID00001097	Is that so? You are good, aren't you?
GID00001098	If the Boomers will toe the line, I can focus on other preparations. But not without first rewarding your initiative. Now moving on...
GID00001099	The leader of the tribe is a woman named Marjorie. My understanding is that she strongly opposes a reversion to cannibalism.
GID00001100	If she's intractable, you might find Mortimer, her second-in-command, more flexible.
GID00001101	You destroyed the Brotherhood's bunker? Very well.
GID00001102	I'll trust your word, and reward you as though you wreaked this destruction at my behest.
GID00001103	Of course, if the Brotherhood should suddenly rise up to oppose my rule, you will be held responsible. Now, moving on...
GID00001104	Very well. This latest victory brings to a close my efforts to reshape the power balance of the Mojave - and not a minute too soon...
GID00001105	That's what I like to hear.
GID00001106	One of my Frumentarii has set up camp near Hoover Dam. His name his Cato Hostilius.
GID00001107	Go to him. He'll have further instructions.
GID00001108	Don't have it. Benny stole it, right before he stabbed us in the back. He's probably back at the Strip by now, laughing at me.
GID00001109	One of my patrols was on its way back from Novac when it came under fire from the Great Khans.
GID00001110	They radioed for reinforcements, but instead of waiting for us, they chased the Khans into the ruins where they were caught in a crossfire.
GID00001111	No deaths, but not all of the squad got out. The Khans have Private Ackerman and Private Gilbert as hostages.
GID00001112	You're right about that. Saint James! Got a thief here!
GID00001113	Oh, I think I'd like that. A lot. Maybe even give you a discount for my... company.
GID00001114	You did? Well, that's one hell of a service to humanity, then.
GID00001115	I guess I always thought maybe I'd be the one to do it, but I just... never got my nerve up.
GID00001116	Maybe I'll sleep good tonight... Here, take this. It's how I say thanks.
GID00001117	It's about time. I saw some of the townies gathering at the saloon, so we've got a militia to take down. We get rid of them and we own this place.
GID00001118	Good. We'll still need a plan before we rush the town. I don't want to embarrass myself and get beat by a bunch of townies.
GID00001119	We ain't got much in the way of supplies, so if you could shake down the old doctor and the store owner for some stuff, we'd be in good shape.
GID00001120	Once you're done with that stuff - or none of it - say the word and we'll make our move.
GID00001121	I figure we'll hang around Goodsprings for awhile, maybe get some of the other gangs to join up with us.
GID00001122	Won't kill anybody else unless we have to. Just as long as people do what we tell them, they'll be all right.
GID00001123	[SUCCEEDED] All right, but put everything back the way you found it!
GID00001124	[FAILED] No offense, pardner, but I'd rather not have you rooting around in there. It's technical-like.
GID00001125	Oh, b-b-because of what that fuck Cook-Cook did? W-well, it's n-not the same thing, but D-Doc Usanagi helped me with my s-s-stuttering.
GID00001126	The d-doc has a c-clinic north of here. Can't m-m-miss it. You should t-talk to Bitter-Root, too. He's b-been to see the doc, too.
GID00001127	It's a pride thing with her, and totally unnecessary. I mean, look at me - I was Ranger Sterling until the Legion got through with me.
GID00001128	I was bitter, but if I'd kept my mouth shut, the NCR would've discharged me and sent me home. Instead, I asked if there was still a place for me.
GID00001129	I had to prove I could still handle a gun alongside all the recruits, but look at me now - First Recon and still going strong. You tell Betsy that.
GID00001130	Whatever you need, we'll make sure it gets done.
GID00001131	If you need help from my team, just give the word. Driver Nephi's earned himself a few bullets in the gut.
GID00001132	10 of Spades really ought to keep his mouth shut, but he's right. There were a lot of things in my past I just couldn't leave behind.
GID00001133	It helped. A little. Well, more than a little. Betsy ought to pay a visit to Usanagi since it can't hurt none.
GID00001134	This is Powder Ganger territory - my territory. Most of the guys around here understand that. One, Chavez, doesn't.
GID00001135	Chavez formed his own crew and have been hitting traders on their own. Everybody I've sent after him either got killed or weren't able to catch him.
GID00001136	That leaves you. What do you say?
GID00001137	Nothing's changed. Chavez won't answer to me, but he and his crew operate in my territory. Deal with him.
GID00001138	Sounds like they're already here. There's no way I'm letting them take me alive.
GID00001139	There's no reason for you to stick around and help us, but feel free to kill a few of the bastards on your way out.
GID00001140	I'm happy you cleaned that up for me, but we've got another situation to worry about. There's a merchant hanging around near the prison.
GID00001141	Something feels funny about him, and I want you to deal with him. Shake him down if he's legit, but if he's not, take him out.
GID00001142	Good. Had him figured for NCR, one of the rangers maybe. Anyway, speaking of the NCR, I need you to take a walk down to Primm.
GID00001143	The NCR hasn't raised hell over our breakout, and I want to find out why. They're up to something, I can feel it.
GID00001144	Assuming an NCR pardon comes with the job - and it had better - I'll also need to be able to do things my own way.
GID00001145	Due process has its place, but sometimes it's just a waste of time. I'll need to know that I'm not going to end up right back in prison.
GID00001146	My terms are the same. A pardon from the NCR and the freedom to do the job anyway I see fit.
GID00001147	The loss of morale in the NCR must have been staggering when their leader fell. It's proof that no one is out of the Legion's reach.
GID00001148	We are preparing to move against the Dam, and Legate Lanius has a part for you to play in the battle. Report to him at his camp.
GID00001149	Killing Kimball would've struck fear into the NCR. It's unfortunate that you weren't able to take advantage of this opportunity.
GID00001150	We are preparing to move against the Dam, and Legate Lanius has a part for you to play in the battle. Report to him at his camp.
GID00001151	No... I suppose not. You've proved that you're a friend to us many times. I apologize for my temper.
GID00001152	Very well. I'll have him seized and brought to Caesar as his personal physician.
GID00001153	So shall I have him seized or not?
