GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_dialogue_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00001017	大した部隊だ。街のゴロツキ程度まで落ちぶれたら、加入してやろう。
GID00001018	古い格言では「2人は中隊、3人は大軍」と言う。ちょっと大げさだが、大体そんなもんさ。
GID00001019	運び屋に、医者、そして人工頭脳犬か。この状況を切り抜けたら、Topsで劇のネタにしよう。
GID00001020	そのロボットは何かこう...な。同行するのは構わないが。
GID00001021	それがLake Meadに墜落し激しく損傷したら、もしパルス手榴弾をそれに投げつけたらどうなるってことを言ってるだけだ。
GID00001022	さらに悪い事態が進行中なのか?
GID00001023	エンクレイヴとの関係を隠し続けて30年。Eyebotでも連れて荒野を旅したいもんだ。
GID00001024	気遣いありがとう。 感謝する。
GID00001025	信頼を取り戻せるか? 理解してくれると思ってた。
GID00001026	些事は気にするな。大戦闘と死体の山、それだけだ。
GID00001027	エンクレイヴの技術はBrotherhoodよりさらに高度だ。そしてMoreno指揮官と他の指揮官、とその部隊は手練ばかりだ。
GID00001028	本当に唖然とする光景だ。
GID00001029	後方支援が必要だろう。NCRのスナイパー兵Craig Booneを付ける。外に出たら常にかがんでおかないと彼に撃たれるぞ。
GID00001030	気の毒に。キャラバンの物資を回収してあげないとな。情報ありがとう。
GID00001031	何もかも彼から聞いたのか? まぁ、vertibird(ヘリ)を操縦してから大分経ってるからな。
GID00001032	Lake Meadの中に墜落する危険があった。あの湖はなぜか飛行機を引きつけるようだ。
GID00001033	ただ、再び飛ぶ機会があれば喜んで飛ぶ。コード名はDearがいいな。
GID00001034	暫くだな、Arcade。で、何が欲しい? 若い傭兵をもっと欲しいのか?
GID00001035	ArcadeはFollowers of the Apocalypseと一緒らしい。で、何が欲しい? 若い傭兵をもっと欲しいのか?
GID00001036	White伍長の居所はどこだったか… 最近は話を聞かない。おおっと、失礼する。
GID00001037	すぐに結果がほしい。
GID00001038	彼らはLegionの役に立たないだろう
GID00001039	貴重な機会を逃したな。次の任務をしくじると大変な事になるぞ。
GID00001040	そうか。Hoover Damを失った時、Stripに味方がいれば有益だ。さて、次の任務のことだが…
GID00001041	今までの活躍は見る影もないな。今回はどうしてしくじったんだ?
GID00001042	この次の任務で戦果を上げた方がいい…
GID00001043	では始めよう。
GID00001044	奴らの脅威を取り除く、最高に申し分のないやり方だ。あの集中砲火の中でやり遂げるとはまったく見事なものだ。
GID00001045	さて、君の次の任務は…
GID00001046	よし。時期が来たら、彼等がLegion側につくようにしろ。さて、次の任務は…
GID00001047	そうだな。McLaffertyが文句を垂れたら、部下にカリフォルニアまで逃がして貰おうか。俺は消えたとババアに伝えてくれ。
GID00001048	コードの変更なんて簡単だ。だがLegionに盗聴されているかどうかは疑わしいな。奴らはそれ程進んでないからね。まあ用心に越したことはないからな。
GID00001049	よくやった。Reyesにここは安全だと伝えてきて良いぞ。
GID00001050	何だ、またか? 新型に変えたってのに。もういい。新しいコードをくれ。
GID00001051	おー、あー…ああ、うん。できるよ。ああ、ありがとう。
GID00001052	何かの間違いよ。そんな報告は一切送ってないわ。訓練されたデスクローですって?そんなの忘れるはずがないわよ。
GID00001053	いや、私はそんな報告は行っていない。もし誰かがそういうなら、何かの間違いだ。私はそんな事務的な手違いを起こさないよ。
