GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_message_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00032067	また、New Vegas付近では幾度か暴動が起こった。略奪者が道路をうろついている。
GID00032069	マッカランは大混乱に陥っている。フィーンドが機に乗じて基地を攻撃している。
GID00032071	箱には大量のJetが入っている。もし持っているなら、サイコで風味付けすることができる。
GID00032073	ジェットを置いて行く
GID00032074	ジェットを取る
GID00032075	ジェットを取ってラルフの偽造書簡を放置する。
GID00032076	ジェットを取ってジーン・バティストの書簡を放置する。
GID00032077	ジェットとサイコを打つ
GID00032078	州警察はニューべガス周辺で散発的に起きる暴動を食い止めたんだ
GID00032080	"N-R"と書かれた引き出しから、ペイサーの名前のあるフォルダを素早く探し当てた。
GID00032084	あなたのPip-BoyのData部のクエスト画面は、あなたが引き受けた全てのクエストにおける進展を追跡します。左にはクエストのリストがあります:明るいテキストのそれは有効なクエストです。暗いテキストのそれは完了したか、なぜか失敗したクエストです。あなたの進行中のクエストは、小さな■でマークされます。
GID00032085	画面の右側には、各クエストの目標が表示されます。進行中の目標は明るい文字で、リストの上段に表示され、完了あるいは失敗した目標は暗い文字で、リストの下段に表示されます。"オプション"と記されている目標は、クエストを完了する条件ではないものです。
GID00032086	どのクエストも"アクティブ"に設定することが可能です。また、その場でワールドマップを開いて、アクティブなクエストの現在の目標を(その場所がわかっていれば)確認できます。コンパスとマップに表示されるクエストの目標は、アクティブになっているクエストのものだけです。
GID00032088	エンディング・シーケンスの結びのビンク
GID00032090	メインパワーがオンラインに戻るまで、ドアは封鎖されました。
GID00032092	特になし
GID00032094	ベロニカはScribe Assistant perkをあなたに与えました。
GID00032096	エンディング・シーケンスでプレイヤーがエデンと手を組むビンク(エデンの望みどおり、プレイヤーがFEVに毒を混ぜると再生)
GID00032098	エンディング・シーケンスでプレイヤーがエデンと手を組まないビンクのパート2(プレイヤーはFEVに毒を混ぜず、エデンの側にはつかなかったうえ、エデン大統領とレイブン・ロックを始末した場合に再生)
GID00032100	グレネードを使って、トラップを作動可能にできそうです。
GID00032102	何もしない。
GID00032103	トラップを仕掛けなおす。
GID00032104	データルーティング・プロトコルを調整すれば、アポカリプスの使徒がこのネットワーク・アクセスポイントをモニターできるようになります。
GID00032105	[Lucky 38 のデータネットワークにアクセスするにはScience 50 以上必要です。]
GID00032107	アクセスポイントを放っておく
GID00032108	ラッキー38のネットワークを監視する
GID00032109	エンディング・シーケンスでプレイヤーがエデンと手を組まないビンクのパート1(プレイヤーはFEVに毒を混ぜず、エデンの側にはつかなかったが、エデンとレイブン・ロックを始末しなかった場合に再生)
GID00032111	レーザートリップワイヤー放射装置は武装解除されています。
GID00032112	動力が復旧したら起動するようにセットできそうです。パワーオフの状態なら、この装置の細工は難しくありません。
GID00032113	(Repair [%] 以上必要) または
GID00032114	(Science [%] 以上必要)
GID00032116	何もしない。
GID00032117	放射装置を武装する
GID00032118	放射装置を細工する
GID00032119	エンディング・シーケンスでプレイヤー(悪)が死亡するビンク(清浄装置が作動する前に、プレイヤーが浄化プロジェクトを爆破させると再生)
GID00032121	エンディング・シーケンスでプレイヤーが生き残るビンク(浄化プロジェクトのチャンバーで、サラ・リオンズがプレイヤーの代わりに犠牲になると再生)
GID00032123	Vaultのテーマがハウスに追加されました
GID00032125	キャスはHPに永続的なボーナスを与えるCalm HeartのPerkを手に入れました。
GID00032127	爆弾処理には高度な知識と技術が要求されます。そのままにしておくのが無難でしょう。
GID00032128	(備考:核爆発はきわめて危険だという噂です)
GID00032130	何もしない
GID00032131	大丈夫、腕には自信がある
GID00032132	目を閉じて銅線をつかみ引っこ抜く
GID00032133	「Repair」スキルを用いて、感電することなく、マイクロフュージョン・セルを回収できそうです。
GID00032135	マイクロフュージョン・セルを回収しない
GID00032136	マイクロフュージョン・セルを回収する
GID00032137	砲制御盤の回路基板を調べた。ショートさせてスピーチ中に砲を爆発させつことができる。(Repair50かそれ以上が必要)
GID00032139	回路基盤を放置する。
GID00032140	回路基盤をショートさせる。
GID00032141	高速エレベーターの動力が復旧しました。
GID00032144	あなたの持っているアイテムではロック"It!"ランチャーは作れません。現在の所持品は、掃除機:[%]、リーフブロワー:[%]、消火ホースのノズル:[%]、コンダクター:[%]です。
GID00032146	アポカリプスの使徒の服を着用中
GID00032148	ネロは死にました!
GID00032150	緊急無線受信中。
GID00032152	ソーボーンに体を攻撃されました。
GID00032154	ブッチの母親をラッドローチから救いました。+100カルマ。
GID00032156	メインフレームを放置しておきました。
GID00032158	タイムボムの傷は深刻です。「Medicine」スキルが40以上ないと、彼を救えません。
GID00032160	何もしない
GID00032161	いっそのこと、楽にしてやる
GID00032162	死体のトラップは解除されています。
GID00032164	近接トラップとして再武装
GID00032165	時限トラップ(10秒)として再武装
GID00032166	死体を漁る
GID00032167	何もしない。
GID00032168	あなたはまだCaesar's Legionの服を着ています
GID00032170	ボトルキャップ地雷が完成しました。
GID00032172	犯罪は重犯罪と軽犯罪に分けられます。
GID00032173	軽犯罪を犯すと、被害者が襲いかかってきます。
GID00032174	・不法侵入罪:カギのかかったドアやコンテナを開ける、あるいはコンピューターに侵入しようとするところを目撃されると、所有者がその場で襲いかかってきます。
GID00032175	・窃盗罪:何かを盗む現場を目撃されると、所有者がそれを取り返そうしてきます。ここであなたが逃走するか、盗んだ品を返さないでいると、所有者が襲いかかってきます(あるいは、助けを呼びます)。あなたが反撃すれば、重犯罪(暴行罪、以下を参照)が成立します。
GID00032176	重犯罪を犯すと、被害者と被害者の友人が襲いかかってきます。
GID00032177	・暴行罪:一方的に相手を攻撃するか、襲ってきた軽犯罪の被害者に反撃すると成立します。
GID00032178	・殺人罪:被害者と親しい目撃者がいた場合、彼らが襲いかかってきます。
GID00032179	意図しない争いが始まった場合、武器をしまって投降を試みることができます。投降の成否は、襲撃者があなたにどんな印象を持っているかによって変わってきます。
GID00032183	あなたは、Med-Xを使用して患者の痛みを和らげます。 shrapnelの断片を選び出すのに、慎重にピンセットを使用します。 血液の極度な損失のため、患者は循環性ショック状態になります。 あなたは、患者を安定させるために直ぐスーパースティムパックを使用します。 患者は全快するでしょう
GID00032185	ダメージは次のような方法で回復できます。
GID00032186	・お金を払って医者に診てもらう。
GID00032187	・スティムパックを使う。
GID00032188	・食べものを口にするか、水を飲む。
GID00032189	・ベッドで眠る。
GID00032191	爆発させるための特別な装置を持っていません。[Fusion Pulse Chargeが必要]
GID00032195	ブーンは今や先遣偵察隊Survival Armorを着ており、それには狙撃手とその仲間が厳しい砂漠の環境で生き残れるように設計された特別の機能と収納スペースが付いている。
GID00032197	あなたの仲間はそのfaction armorを着けることができません
GID00032199	あなたはドアを開くカギか、lockpicksが不足しています
GID00032201	何もしない
GID00032202	「言葉をもって武器となすべし」
GID00032206	もうグレート・カーンズの服を着ていません
GID00032208	全身の毒素が浄化されました。
GID00032210	トラップを仕掛けなおしますか?
GID00032212	何もしない
GID00032213	トラップを仕掛けなおす
GID00032214	太陽光反射材のスペア部品を使えば修理が簡単になります。
GID00032218	Vault-Tec社の限定版ボブルヘッドを見つけました!
GID00032219	「言葉をもって武器となすべし」と台座に書かれています。
GID00032220	「Speech」スキルが10ポイント上昇しました。
GID00032222	この患者の状態は悪いですが安定しています。あなたは何もすることがありません。
GID00032224	ジョンソン・ナッシュが死亡しました!
GID00032226	レッドが死にました。
GID00032228	ロビー行きの高速エレベーターに動力が供給されていません。復旧には核分裂バッテリーが必要です。
GID00032230	仲間が死にました。
GID00032232	ロイヤルの起爆装置からのビープ音が止んだ。
GID00032234	出る前にあなたの机から荷物を取り出しましょう。
GID00032236	アーガイルは診療所におけるあなたの手術権を取り消した。もはやどの患者も手術することは出来ない。
GID00032238	4人のVIPターゲットが全員死亡しました。
GID00032244	Enduranceをもっと高くしないとこれ以上インプラントを受けることができません。
GID00032246	ドアを修理するには「Science」スキルが足りません。
GID00032247	(Science [%] 以上必要)
GID00032249	ラジオは直ちに雑音を出した。
GID00032251	これらのレプリカの衣類は、ヴィッキーが当時のスタイルをどう意識したかを示しています。ヴィッキーは彼女のファッションセンスが有名で、彼女の高価な衣服への執着は二人が犯罪人生を選んだ理由の1つであると考えられました。
GID00032255	了解
GID00032256	「Explosives」が最低60ないと、C4を適切に仕掛けられません。
GID00032258	去る
GID00032259	Vault-Tec社の限定版ボブルヘッドを見つけました!
GID00032260	「鋭い感覚を養い、弱さを自覚すべし」と台座に書かれています。
GID00032261	「Perception」が1ポイント上昇しました。
GID00032263	弾薬は殆どのGuns・Energy Weaponsに用いられるが、時々他種の武器にも用いられる。基本的な弾種には特別の効果はないが、特殊弾は威力を高めたり、敵のDT値を減じたり、あるいは武器のspreadを減じさえする。弾(の項)がハイライトされている時、サブメニューに表記されている。多くの武器は特殊弾も使える。特殊弾は元の弾と同じ名前で始まる。一般的な特殊弾は:
GID00032264	・AP弾:DTの大半を無効化し、やや多くダメージを与える。
GID00032265	・ホローポイント:より多くのダメージを与えることができますが、防具によって簡単に防がれてしまいます。
GID00032266	・オーバーチャージ:Energy Weaponsを使用する際、ダメージが上昇しますが武器が早く劣化します。
GID00032267	・スラグ弾: ショットガンで使用可能。バックショット(散弾)の代わりに、1発の大口径弾を発射する。
GID00032268	弾丸のタイプを変更するには、このメニューで装備してください。Pip-Boyを使わない場合は、2を押すことで現在装備している弾丸のタイプを変更することができます。
GID00032270	スキルが足りないため、爆弾を処理できません。[Explosives [%]]
GID00032272	この制御ボックスはHoover Damのメインコンピューターバンクに接続しています。
GID00032274	何もしない。
GID00032275	オーバーライド・チップをインストールする
GID00032276	ベルチバードに爆弾を仕掛けるようとしたが、何をすべきかよくわからなかった。誰かが気付く前に止めることに決めた。
GID00032278	Raulは小屋に戻りました。
GID00032280	クローバーが死にました!
GID00032288	ワンダーミート(モールラットの肉×1、ワンダーグルー×1)を作りますか?
GID00032290	はい
GID00032291	いいえ
GID00032292	「Science」スキルが足りないため、このトラップには手がつけられません。
GID00032293	(Science [%] 以上必要)
GID00032295	ブッチが死にました!
GID00032297	[%]:ユニークを選択しました
GID00032299	エレベーターから反応がない。
GID00032301	こう読める:”あなたの借金はまだ未払いのままです。これで二回目の警告です。三度目はありません、結果だけがあります。一日の猶予を与えましょう。”
GID00032303	発電機は正常なようだが、大きな害獣がパワーケーブルに噛みついたようだ。適切なノウハウと多少の廃棄部品を使えば、接続を修復して出力帯域幅を改善することができるだろう。さもなければ助けが必要だ。
GID00032304	(Repair 35 以上と廃棄部品が一つ必要です)
GID00032306	何もしない
GID00032307	線を直す。
GID00032308	エルダー Hardin
GID00032310	軽い刺激を与えることで、この巣のさなぎの成長を促せそうですが、使えそうなアイテムを持っていません。
GID00032312	The Topsのフロアマネージャーはあなたと話すためにこちらへ近づいています。
GID00032314	<スピーカーから辛うじて音楽に分類されるような音がする>
GID00032316	Ewersの家のドアにはカギがかかっています。
GID00032318	ドアをノックする
GID00032319	何もしない
GID00032320	April Martimerが死亡しました!
GID00032322	この作業をするには少なくとも5つのC4が必要です。
GID00032324	去る
GID00032325	グロウズが死亡しました。
GID00032327	Cassは向かった、いやいやながら、Lucky 38へ
GID00032329	ロボットの内蔵回路をリセットしました。もはや正常に振舞うでしょう。
GID00032331	Caesarは昏睡し、死に近付いている。手術によって脳から腫瘍を取り除くことによってのみ彼は救われます。
GID00032332	手術を行う前にドクターバッグと手術道具一式が必要です。 
GID00032334	Caesarを放っておく。
GID00032335	<div>
GID00032336	重傷の手足を治療する方法は、ベッドでの睡眠、医者の治療、スティムパックの3つ。ハードコアモードではドクターバッグと医者の治療のみ
GID00032337	<p>
GID00032338	スティムパックは全身に使って傷を癒す(重傷のダメージもわずかに回復します)ことも、手足に直接使って重傷のダメージを回復することも可能です。
GID00032339	<p>
GID00032340	スティムパックを直接使って、重傷の手足を治すには、Pip-BoyでStatus画面を開き、任意の部位を左クリックしてください。
GID00032342	ブレーカーを落とすと、部屋の周りにある端末の電源が一つ一つ落ちて行くのが聞こえた。
GID00032344	爆弾の処理に失敗しました。
GID00032346	Vault-Tec社の限定版ボブルヘッドを見つけました!
GID00032347	「仕事は近づいて片付けるべし」と台座に書かれています。
GID00032348	「Melee Weapons」スキルが10ポイント上昇しました。
GID00032350	この発電機はもし機能していればQuarry Junctionへ電力を供給しているようだ。これを組み立てた誰かが何をしているか分かっていなかった ―多くの部分が不適当に接続されているか、後方に据え留められている。適切な知識の持ち主なら容易く機能させられるはずだ。
GID00032351	[発電機を修理するにはRepair 35 以上必要]
GID00032353	発電機を放っておく。
GID00032354	発電機を適切に組み立てる。
GID00032355	裸にして予備部品にするために永久に停止させる。
GID00032356	これはStealth BoyⅡ型・試作品である。試作品でしかないから、実施試験中ステルスフィールド内に予測できない結果を生み出すであろう、多数の揺らぎが存在する。電子工学に精通したものならフィールドの出力を安定化できるだろう。
GID00032357	[Repair 65 以上必要]
GID00032359	何もしない。
GID00032360	ステルスフィールドの出力を安定化しています。
GID00032361	どの武器を造りますか?
GID00032363	なし
GID00032364	ボトルキャップ地雷
GID00032365	ダーツガン
GID00032366	デスクロー・ガントレット
GID00032367	ヌカ・グレネード
GID00032368	レールライフル
GID00032369	ロックIt!ランチャー
GID00032370	シシケバブ
GID00032372	男の子
GID00032373	女の子
GID00032374	RexはFaithful Protectorパークを習得した。攻撃ダメージ増加。
GID00032376	あなたはVegas独立のためHoover Damの戦いに参加することを決意した。この戦いがNew Vegasの運命を左右する事になるだろう。
GID00032377	戦闘に入る前にやり残したことがあるなら今やりましょう。引き返せなくなる前に。
GID00032379	まだ準備できていない。
GID00032380	勝負だ!
GID00032381	調べてみるとこの悪党はまだ生きている事が判った。死んだふりをしていただけだ。
GID00032383	あなたは氷をとりヤケドを冷やした。が、効果が無いどころかより悪化させてしまったようだ。ケガ人は大声で叫んだかと思うとショック性心停止を引き起こし死んでしまった。
GID00032385	Vault-Tec社の限定版ボブルヘッドを見つけました!
GID00032386	「厄介事は吹っ飛ばして解決すべし」と台座に書かれています。
GID00032387	「Explosives」スキルが10ポイント上昇しました。
GID00032389	RaulはLucky 38へ行きました。
GID00032391	「つねに得がたいものを求めるべし」
GID00032393	あなたの持っているアイテムでは"ヌカ・グレネード"は作れません。現在の所持品は、ヌカ・コーラ・クアンタム:[%]、ブリキ缶:[%]、ターペンタイン:[%]、アブラクシオクリーナー:[%]です。
GID00032395	グレイディッチ・ファイヤーアントの火炎耐性とStrengthを与えられた。あなたのStrengthが1ポイント上昇し、火炎耐性が25%になった。
GID00032397	この箱にはたくさんのJetがあります。薬品について知識があるならば、使うと致命傷になるようJetを汚染することができるかもしれません。
GID00032398	(Medicine 60 以上必要)
GID00032400	なにもしない。
GID00032401	Jetをとる
GID00032402	Jetをとり、Ralphの偽の手紙を残す。
GID00032403	Jetをとり、 Jean-Baptisteの手紙を残す。
GID00032408	これはMark III Auto-Docであり、主に型通りの手術を行うために使われた。制御システムが修理不可能なほどに損傷しており、そのことがAuto-Docを役立たずにしているが、診断スキャンユニットは未だ無傷のようだ。
GID00032410	何もしない。
GID00032411	診断スキャンユニットを取る。
GID00032412	もはやLilyは一切の薬を飲まないだろう。体力が半分になると精神異常のために苦しむが、戦闘能力は大幅に改善される。
GID00032414	Lilyは自分で思っていた半分の頻度で薬を飲み続けるだろう。未だ体力が1/4になると精神異常に苦しむが、あなたがSneakingを始めると戦闘を中断するだろう。
GID00032416	Lilyはいまや飲もうと思ったときいつでも薬を飲むだろう。もはや精神異常に苦しまないだろうが、戦闘能力は減じる。
GID00032418	コンソールは動作している。内部に電源があるようだ。コンソールの上には大きなポーカーチップが入るほどの大きさのラウンドスロットがあります。
GID00032420	何もしない。
GID00032421	Platinum Chipをスロットに入れる。
GID00032422	Meat of Championsのperkを獲得しました。
GID00032426	殺菌剤が有効になっていません。
GID00032428	首輪がしつこくビープ音を鳴らし始めた。
GID00032430	Vault-Tec社の限定版ボブルヘッドを見つけました!
GID00032431	「才徳を磨き、己の至らなさを知るべし」と台座に書かれています。
GID00032432	「Intelligence」が1ポイント上昇しました。
GID00032434	箱を開いて近くの端末に対応したブレーカーを見つける。
GID00032436	何もしない。
GID00032437	ターミナル用の3基以外、全ての電源を切りなさい。
GID00032438	キャラバンをプレイするには少なくとも30枚のカードから成るデッキを組み立てなければなりません。カードは世界で見つけるか、ベンダーから購入できます。あなたはカードのどんな風にでも組み立てることができますが、あるデッキ構成は相手に対して長所と短所を持つことになるでしょう。
GID00032439	十分なデッキを選択すると、あなたはゲームプレイを始められます。この画面ではあなたが最後に組み立てたキャラバンデッキを常に記録するようになり、その後のゲームプレイでは修正が容易になるでしょう。
GID00032441	体力が全快しました。
GID00032443	あなたはまだWhite Glove Societyの服を着ています
GID00032445	ルーカスとハーデン・シムズ兄弟が殺されました。メガトンの不発弾を処理しても、報酬はもらえません。
GID00032447	VeronicaはCauseless Rebel perkを獲得した。彼女のunarmed攻撃力がブーストされます。
GID00032449	Vault-Tec社の限定版ボブルヘッドを見つけました!
GID00032450	「勝って笑って虜にすべし」と台座に書かれています。
GID00032451	「Charisma」が1ポイント上昇しました。
GID00032453	Senior Knight Lorenzoが死にました!
GID00032455	Pip-Boyを起動してください、[%]。
GID00032457	CassはMojave Outpostへ帰った
GID00032459	ビッグタウンの住人は全滅です。
GID00032463	ハンニバル・ハムリンとリロイ・ウォーカーが死にました。
GID00032465	RaulはOld Vaquero perkを得た。彼のリボルバーとレバーアクションの銃器の火力が33%増えます。
GID00032467	テンペニータワーがフェラル・グールに乗っ取られ、Mr.バークは行方をくらましました。メガトンを吹き飛ばしても、報酬はもらえません。
GID00032469	この反射パネルは損傷していますが、太陽光反射材のパーツはまだ使えそうです。回収しますか? (Repair 20 以上必要)
GID00032471	何もしない。
GID00032472	パーツを回収する。
GID00032475	武器の状態が悪くなっており、修理することでよりダメージを与えることができます。武器はPip-Boyを使うか行商人に訪れることで修理することができます。自分で修理するには、似た武器からパーツを取る必要があります。
GID00032477	必要なアイテム (モールラットの肉、ワンダーグルー)を持っていません。
GID00032479	White Glove Societyの服を脱いだ。
GID00032481	ブレーカーを入れていくとターミナルが順に動き出していくのが聞こえた。
GID00032483	新しいMojave Express Dropboxを発見した。別のMojave Express Dropboxからここへアイテムを配達したり、ここから配達したりできます。何かアイテムを送りますか?
GID00032485	箱を閉じる
GID00032486	アイテムを取り出す
GID00032487	New Vegas Stripへ送る
GID00032488	Freesideへ送る
GID00032489	Novacへ送る
GID00032490	Primmへ送る
GID00032491	Goodspringsへ送る
GID00032492	建物のすぐ外から自分の声がはっきりと聞こえた。直後に、あなたの装備は失活した。
GID00032494	Legion Assaultの特殊アクションを使用可能になりました。この技を使うには、敵に向かって走りながらPower Attackを発動してください。
