GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_note_en.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00050567	First attempts at atmospheric pinging returned negative. Considering that the motivators are still non-functional, it's going to be difficult to catch much of anything that doesn't pass directly over us. Still, I cannot rule out other mechanical failure. I haven't got much astronomical reference material with me, but maybe I can find an old chart and wait until a celestial body passes over to confirm signal. Of course, that may take years. I'll have to keep working on the motivators.
GID00050568	You are standing on a narrow stone path in a dark marsh. Greasy bubbles float to the top of the bog-waters on either side and pop lazily, spattering your legs with muck and slime. A short, stone tower squats here. No door is visible, and the stones are smooth and polished. A balcony juts out midway up the tower's face. The heady smells of incense mix with the nauseating stench of the swamp. The stone path unfurls eastward, towards a broad plain beyond the marshes.
GID00050569	A wizard is here, gesticulating wildly from his balcony.
GID00050570	Finally got to begin on my work in earnest today. Dish motivators are offline, but I was able to input some basic coordinates and ping nearby satcom arrays to the southwest and east. There was some interference pinging the NN-03d array. Probably Radroaches or something making a nest in the dishes. It may be worth sending one or two of the mercs over there to clean it out in case I can use those towers to amplify my own signal.
GID00050571	There were dozens of military satellites in orbit, just from the old records I found in the ruins. There must have been hundreds before the war. If I can find just a few operational platforms...
GID00050573	Thanks to a little creative wiring, I was able to tap us into a power source. They're less common up here, but if you know where to look, there are still plenty of live power lines buried all over the Wasteland. For all their arrogance, they knew a thing or two about engineering before the bombs. I have to admit; it's remarkable that there's still power to be had after all these years.
GID00050574	Now that we've got all the power we'd want, I can bring our defensive turret online and try to get the dish motors operational.
GID00050575	Nothing says "equality" like a fistful of caps. I think these Talon Company mercs are about the most cordial smoothies I've met, as long as their boss is getting paid. Luckily, money's no issue; I've hoarded plenty of it up since before these guys' parents were knee-high on a Brahmin.
GID00050576	Of course, if I succeed in this, it won't matter how many caps any of these rat bastards have.
GID00050577	To: Private Erwin
GID00050578	If I hear of you pulling another prank on one of my troopers that causes them to return to duty without their clothing fully intact, I will personally make sure you get transferred to Camp Forlorn Hope and don't come back.
GID00050579	I'll be watching you.
GID00050580	Lt. Ashville
GID00050581	To: Private Jackson
