GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc02_dialogue_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00087077	あっけない、はっ?お前は勇気がある、それは認める。だが、本当に何も知らずに飛び込もうってのか?俺たちがどこへ何をしに行こうとしてるのか聞かなくていいのか?
GID00087078	そうだろうな、しかし今回の探検について我々の空きスペースは1つしかないんだ。君の後ろにいる友人達は残らなければならない。
GID00087079	そうだろうな、しかし今回の探検について我々の空きスペースは1つしかないんだ。君の後ろにいる友人は残らなければならない。
GID00087080	そうだろうな、しかし荷物を満載したパックバラモンみたいでは何処へも行けないぞ。
GID00087081	そうだろうな、しかし荷物を満載したパックバラモンみたいでは何処へも行けないぞ。
GID00087082	今からか? かなり長い期間戻れないってことは分かってるな? 重量制限についてはどうだ?
GID00087083	私は、"オー、Masterson さん、うちにお気に入りのプラズマキャノン置いてきちゃったー、取りに戻っていい?"なんて泣き言は聞きたくないぞ。
GID00087084	準備はできてるか?
GID00087085	大丈夫だな? しばらくは戻ってこれないぞ。
GID00087086	あぁ、そのつもりだ。我々にこれらの全部どころか、一部だって手に入るのかどうか、希望を失いかけていたところだよ。部族達は賢い、が…彼らは無知なんだ。
GID00087087	タブーへ彼らを送り込むのは難しいことだ、だからそれは我々の誰かになるだろうと考えていた。結果としては異教徒が取ってきてくれたわけか。それか、あっ…いや悪気はないんだ。
GID00087088	これらの物資は神の恵み、しかし我々が White Leg の更なる注意を引き付けないように Zion を退避しようとするなら、君には谷に戻ってもらう必要がある。
GID00087089	具体的には、White Legsのいくつかの拠点を偵察し、東の自然保護区域、Grand Staircaseの地図を補完してもらいたい。
GID00087090	道の問題もある。公園の東側に行こうにも、明確な道は分からない。
GID00087091	感謝する。さて、それはそれ。今必要なのは、気付かれずに静かに荷造りして、ここから出る事だけだ。
GID00087092	Joshuaが私を止めないと仮定しての話だが。彼は私が言ったにも関わらず、White Legsと戦うことについて君を説得していない。
GID00087093	心配いらない。私は君のせいにはしない。君は - outsiderだから。戦いは現実的な解決法のように見える。しかし、それは危うい選択だ。
GID00087094	あなたは私の期待以上の働きをしてくれた。ありがとう。 神のご加護が常にあなたとともにあらんことを。さようなら。
GID00087095	君は彼らを見殺しにした! 彼らには君が必要だったのに! どうして助けてやらなかった?!
GID00087096	気にするな。時間がない、地図を取れ。それを取って行け!
GID00087097	ええと…。実際の所何を知りたいんだ?彼女のほうが私より適任だと思うが。
GID00087098	ほぅ! それを聞いて嬉しい! 何か幸せなママになるだろう、ふん? ありがとう ‐ 本当に。とっても大事なことなんだ。
GID00087099	もちろん、まあ、わかります。そうなって欲しくはなかったけど、少なくとも子供は群れと一緒に帰ります。
GID00087100	それは… 私が望んでいた事じゃない。す…少なくとも、キャンプを攻撃する Bighorner について心配する必要は無くなっただろう。ほおい……
GID00087101	それは… 私が望んでいた事じゃない。でも… 私達は、小さいのに家を与えることが出来ると思う。たいした事じゃない。
GID00087102	教えられないな!残してきたやつらと秘密を守るという約束…のようなものをしたんだ。
GID00087103	俺は全てを知ってるさ!そのことについて全てな!だがお前のようなやつには教えないぜ!
GID00087104	俺は残してきたやつらに、秘密を守ると誓ったんだ!
GID00087105	へぇ、Vault 22 に行ったことがあるだって?
GID00087106	は?…もちろん気づいてたぜ! お前を見て最初に気がついたことだぜ!
GID00087107	俺は自分の格好に慣れきってる。これが普通なんだ。お前も持ってるからって自分を特別だと思うなよ。
GID00087108	生活費を稼いでるの。Jed は私をこの遠征の護衛に雇ったのよ。
GID00087109	私にぴったりな仕事だわ。一箇所に留まろうとすると、どうしても上手く行かないのよ。
GID00087110	私はNew Renoで育った、そしてそんなに早くあの蛇の穴を忘れることは出来ないでしょうね。
GID00087111	結局私は、93の北のCalienteという小さな町で保安官をしながら人生の盛りを浪費したの。面倒事について話して。
GID00087112	言わせてもらえば、一番いいのは移動し続けることだ。少なくとも景色は変わる。
GID00087113	なんだって?何かの間違いだろう。Danielは私に言ったんだ!
GID00087114	[成功] んん… わかった、君は自分の限界を知っているのだろう。
GID00087115	もっとも、お前は俺にやられる。お前の尻だけは残して全て頂き、最後にお前は包みだけ持って帰る。
GID00087116	[失敗] まさにそれこそ私が心配している事だ。あちらは新婚初夜の処女よりも窮屈な山道だった。
GID00087117	素人が立ち往生してたらキャラバン全体を減速しなきゃいかん。
