GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc03_description_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00088781	Atomic! perkがあれば、放射性の暖かい日差しを浴びている間、25%速く強くなります。外部の汚染されたエリアでは、あなたの放射能障害がひどいほど、アクションポイント(AP)は早く回復します。
GID00088782	あなたはより良く…より速く…より強く…なれます。実際には、より速く、のみですが。 M-5 implant により、被験者の限りでは、より大きな効率化によって屈んだ状態での移動速度が 20% 上昇します。
GID00088783	Implant Y-3 は体内ろ過システムを消化官に設置し、摂取した液体中の全放射性粒子を体内で処理される前に取り除きます。
GID00088784	Implant C-13 はもともと格納容器から逃げる Cazadores を排除する防御タレットの補助サブルーチンとして設計されました。しかしそれは人間の被験者でテストするために再利用されています。 (Cazadores に対しダメージ+10%)
GID00088785	Big MT で創られた忌まわしい生物について学んだ事により、あなたは Nightstalkers に対しダメージボーナス(+10%)を得ました。
GID00088786	あなたは Nightstalker を理解するようになりました。Nightstalker Squeezin's を使用すると通常の効果に加えて Perception (+1 PER)、Poison Resistance (+5)、そして stealth (+5 Sneak)のボーナスを得ます。
GID00088787	Implant Y-7 は、食品から得られる Health (HP) を増やし、そして消費する食品により更に Action Points (AP) を回復する、酵素増幅器です。
GID00088788	あなたの背骨は先進技術と交換されました:あなたの胴体はもはや重傷を負わず、Strength (STR) と Damage Threshold (DT) が増加しました (+1) 。
GID00088789	あなたの脳は先進技術と交換されました。あなたの頭はもはや重傷を負わず、薬物中毒への耐性 (+25% resistance) と身体の損傷からの衝撃への耐性 (+5% Damage Threshold。 最小 +1) を得ます。
GID00088790	あなたの心臓は先進技術と交換されました:あなたは毒に犯されません。そして心臓のフィルタは出血と回復の調整も行い、全ての回復アイテム (chems) をより高いレベルで機能させます。ロボットは今やあなたに混乱し、50% クリティカルヒットを与えられなくなります。
