GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc03_dialogue_en.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00088842	Yup, here you go.
GID00088843	Sorry, no more today. Try me again tomorrow.
GID00088844	I love it when you talk like that. Let me just get that interface up and running for you.
GID00088845	Fantastic, Citizen! Just input your quantity of seditious material on my interface, and in no time at all I'll have you a beautiful, clean book!
GID00088846	Won't that keep you happy and docile, Citizen?
GID00088847	As much as I'd love to, I'm afraid not. The data from that study has gone missing. You'll have to find a backup if you want to use the Smart Lights.
GID00088848	I certainly can!
GID00088849	Unlike certain other lightswitches, I'm competent. I'd just love to turn those lights on for you.
GID00088850	Oh... well, that's very sweet of you. Maybe one of these nights we can... discuss theorems?
GID00088851	Oh... well, that's very sweet of you. Maybe one of these nights we can... discuss theorems?
GID00088852	Oh... I'd love to, sweetie, but I don't have the programming. All the data from the experiments was lost.
GID00088853	You'd have to go out into that nasty old crater and find the backup copy.
GID00088854	You bet I can!
GID00088855	You bet I can! I bet that's more than that other tramp can do, huh?
GID00088856	Oh, you! I bet you say that to all the light switches!
GID00088857	Oh, you! I bet you say that to all the light switches!
GID00088858	Well, well... what have we got here? Another innocent little toaster. Come here, I won't hurt you... hah! Gotcha!
GID00088859	Oh, yes, the sweet smell of spilled electric guts, the sparking diodes - I fucking live for this!
GID00088860	I RECOMMEND WATCHING YOUR TONE WITH ME, LOBOTOMITE.
GID00088861	NOW... "YOUR" BRAIN. HAND IT OVER. OR WE'LL EXTRACT IT AGAIN.
GID00088862	WHAT? YOU DID? YOUR SURVIVAL, LET ALONE SUCCESS, BARELY REGISTERED ON MY PROJECTIONS.
GID00088863	NOW, ALL I NEED TO DO IS CHECK MY TRANSMISSION DATABANK, MOBIUS IS ALWAYS FILLING IT UP WITH HIS PSYCHOTIC CALLS...
GID00088864	OH YES, THERE'S THE SCHEMATICS, JUST LIKE YOU SAID. HOW TRUTHFUL.
GID00088865	Oh. Well... that's good. Were we supposed to fight? I certainly don't feel violent, but... well, these contraptions make it hard to tell.
GID00088866	Oh... did I leave that on? I thought I'd powered it down - was wondering what was causing the power outages.
GID00088867	Ah, lovely, figured that out, have we? Would you like a cookie?
GID00088868	Ew! Crawl back in there? Are you mad? I don't know where you've been!
GID00088869	For all I know, you're riddled with disease, or packing one of those delightful head wounds you seem to attract!
GID00088870	I'm not crawling back into your head just to ooze right back out again!
GID00088871	Well... I suppose you've convinced me well enough. I'll rejoin your body if that's your final decision.
GID00088872	Unfortunately, before we get to that stage of the proceedings, we have a problem.
GID00088873	Even if I could settle myself back in your skull and reconnect all those pesky nerve endings, Dr. Mobius doesn't have the tools here.
GID00088874	We would have to make use of Dr. Klein's lab, and I rather doubt the brains are inclined to share.
GID00088875	Very well, I suppose I have no choice. Goodbye peaceful, soothing brain jar, hello head wounds and scorpions.
GID00088876	Right! Look out, Think Tank! This brain is coming out of its jar!
GID00088877	I'm not going to lie to you, the prospect is definitely not that appealing.
GID00088878	Look at it from my perspective. Here, I have peace, quiet, and safety - well, barring the odd rogue scorpion.
GID00088879	In your head, I've got poison, radiation, grisly injuries, and biological functions.
GID00088880	Do you know how much more you can get done when you're not constantly looking for places to urinate? It's quite a lot, I can tell you.
GID00088881	Oh, sweet, sweet fulfillment! I'll break these down for you just as fast as I can!
GID00088882	Of course you don't. Why would you? You're not an insane robot obsessed with coffee cups. To you they're just worthless junk.
GID00088883	Doctor Mobius and I were deeply involved in research on the ability of light levels to enhance human cognition.
GID00088884	I was Doctor Mobius'... personal assistant! We were studying... um... oh, shoot, what was it?
GID00088885	Oh yeah! Lightning! No, no, wait, uh... Lighting. That's right. How lighting affects human interaction.
GID00088886	That arrangement suits me fine. Do try not to get too many holes drilled in your head, will you? I may want to drop by for sentimental reasons.
