GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc04_message_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00095538	Camarader-E Perk (Rank 4)を獲得した。光線兵器の威力が5上昇する。コンパニオンである間ED-Eの攻撃力も5上がる。
GID00095540	Eyebotを動力源から切り離す。
GID00095541	(Repair 100 が必要)
GID00095543	そのままにしておく
GID00095544	Eyebotの電源を切断する
GID00095545	Eyebotシャットダウンコマンドを送信する(Science)
GID00095546	このレバーは未だ作動させられない。
GID00095548	あなたは閃光手榴弾を見つけました! 閃光手榴弾は以下の性能を持つ特殊なグレネードです:
GID00095549	- 疲労させる。
GID00095550	- 敵の武器skillsを低下させる。
GID00095551	- Tunnelersを狂乱させる可能性がある。
GID00095553	建物から飛び降りるのはやめましょう
GID00095555	The Roughin' It! Bedroll Kit は空の下どこででも眠ることができます。Pip-Boyで選択して、心配事は睡眠で解消しましょう!
GID00095557	Camarader-E Perk (Rank 5)を獲得した。ED-Eがコンパニオンである間V.A.T.S.での攻撃をより正確にする。またコンパニオンである間ED-Eの攻撃はより正確になる。
GID00095559	Camarader-E Perk (Rank 2)を獲得した。日毎にED-EがSmall Energy CellsかMicrofusion Cellsを作る様になる。
GID00095561	メインフレームは軍規格の暗号化シークエンスでロックされている。アクセスするにはセキュリティーコードを見つけてED-Eにアップロードする必要が有る。
GID00095563	これはコロラド川以東にあるCaesar's Legionの支配する土地に向けられたUlyssesのミサイルを発射し、街や部族に核の炎を降らすだろう。続けて大丈夫か?
GID00095565	いいえ
GID00095566	はい
GID00095567	Eyebotは無事停止しました。EyebotのターゲティングSystemを再設定しますか?
GID00095568	(Repair 100必要)
GID00095570	放っておく
GID00095571	Eyebotのターゲティングシステムを再設定する
GID00095572	自動注入式スティムパックを使用
GID00095574	Rushing Waterはあなたの攻撃速度を増加させます。
GID00095576	この端末はEyebotによってのみ解除されます
GID00095578	端末をそのままにしておく
GID00095579	ED-Eに端末を解除させる
GID00095580	メインフレームは軍規格の暗号化シークエンスでロックされている。アクセスするにはセキュリティーコードを見つけてED-Eにアップロードする必要が有る。
GID00095582	メインフレームを放っておく
GID00095583	Ulyssesがあなたに最後の荷物を置いていったようだ...
GID00095585	これは完全な核弾頭です。Ulyssesの行ったことが本当なら、HopevilleにあるLaser Detonatorで起爆することができるでしょう。
GID00095587	あなたは Camarader-E Perk (Rank 3)を獲得し、あなたと ED-E の両方に DT が +2 される。
GID00095589	このエレベーターで登ると、全てが終わるまで戻れません。まだやりたいことがあるなら今のうちに行ってください。
GID00095591	戻る
GID00095592	エレベーターに乗る
GID00095593	Marked Perkを獲得した。
GID00095595	この端末は損傷している
GID00095596	直せるかもしれない[50 Repair]
GID00095597	何をしたいのですか?
GID00095599	端末から離れる
GID00095600	端末を直す
GID00095601	戦闘中は眠れない
GID00095603	ミサイルはDivideの反対側に着弾したようだ。爆破点にHopevilleから辿り着けそうに思う...といっても、核爆発の爆心地を探索する勇気があればの話だが。
GID00095605	扉は閉ざされており、開く前に通電しておく必要がある。
GID00095607	Eyebotにシャットダウンコマンドを送る。
GID00095608	(Science 100 必要)
GID00095610	放っておく
GID00095611	Eyebotにシャットダウンコマンドを送る
GID00095612	Eyebotの動力を切断する(Repair)
GID00095613	この爪は他のDeathclawの爪よりも一層大きい印象を受けた。作業台を見つけたら、この爪を武器に変えることができるだろう。
GID00095615	あなたのPip-BoyはPrimmの西にあるCanyon Wreckageへ導く信号を受信しました。座標と共に"Courier Six"とあり、"Ulysses"と署名されています。
GID00095617	このAuto-Docは普通な全ての病気ー放射線障害,裂傷,骨折,更には中毒ーの患者を身体検査して治すことができる。
GID00095619	何もしない
GID00095620	身体検査を行う
GID00095621	ED-Eは端末を解除した!
GID00095623	Ashton siloを開くためにコントロールステーションのレバーを倒す。
GID00095625	よお、キャンパーさん!ワイルドに行こうぜ!Bedroll Kitは外で使ってナンボのもんだよ。だから、外に飛び出して試してみてくれ。
GID00095627	あなたは壊れたアイボットからED-Eをアップグレードすることのできるモジュールを見つけました。このモジュールをインストールすることで、あなたは最初のランクのCamarader-E Perkを得ます。ED-Eは一日に一度だけあなたが装備している武器を修理することができます。
GID00095628	このperkはED-Eのダイアログを通じて使用します。
GID00095629	より多くのアップグレードを見つければ、このperkのより高いランクをアンロックできるでしょう。Mojaveに戻っても、それらのアップグレードはオリジナルのED-Eに引き継がれます。
GID00095631	あなたは初めてのBlank Magazineを獲得しました! どんなときであれ、あなたが汚れた本を拾うと、新品同様になります。これらの本は普通の本よりも価値があり、スキルマガジンとして使用することができます! あなたは作業台チを使って、本の余白にこれまで読んだことのあるスキルマガジンの内容をコピーできます。あなたがやろうと思えば、レシピを本に戻すことすらできるのです!
GID00095633	エレベーターからの応答がありません。
GID00095635	スニーキングがバレています!攻撃失敗ダンシングタイムです。
GID00095637	ビームが発射されたなら、このエミッターはもはや機能しません。
GID00095639	Mojaveに存在する国家へのあなたの容赦ない核攻撃は、LegionとNCRの土地を、Mojaveとの国境線まで焼きつくしました。Mojave Outpostでは、あなたは西端のゲートを通って、焼きつくされた前哨基地であるLong 15まで旅できます。Cottonwood Coveでは、あなたは焼きつくされたLegionのキャンプが存在したDry Wellsまで川を移動できます。ただしご注意!-どちらのエリアにも、高濃度の放射線にさらされたフェラル・グールどもがはびこってますよ!
GID00095640	あなたは Dead Man's Burden Perkも修得しました。このPerkはあなたのS.P.E.C.I.A.Lのどれかを1ポイント上昇させます。あなたはまた、Boomersとパウダーギャングからの好評を得ます……その破壊的なスタンスのおかげで。ただし、NCRとCaesar's Legionからは悪評を得ます。
GID00095642	The Divideは都市を破壊してその骨から皮をはぎとり、世界の脅威となりましたが、あなたはそれを生き延び、止めることに成功しました。あなたはS.P.E.C.I.A.L.のどれかひとつを1ポイント上昇させられます。また、ハルマゲドンの再来を食いとめた功績により、Followers of the ApocalypseとBrotherhood of Steelから好評を得ます。
GID00095644	このターミナルはアイボットからのみアクセスできます。
GID00095646	ターミナルを放っておく。
GID00095647	ED-Eはあなたのためにターミナルをアンロックしました。
GID00095648	UlyssesのミサイルはNCRの中枢とCaesar's Legionの支配地域を目標として発射され、両地域に核の炎を降らせるでしょう。本当に継続してよろしいですか?
GID00095650	いや。
GID00095651	ああ。
GID00095652	敵は血を流していない! 打ち倒せない。
GID00095654	明るい光はtunnelerを怒らせる!
GID00095656	このSnowglobeはLucky38のコレクションに追加されました。
GID00095658	あなたが充分な電気知識を備えているのなら、このエミッター(とこのエミッターから放たれるビーム)を無効化できます。
GID00095659	(Repair 90以上が必要)
GID00095661	そのままにしておく
GID00095662	レーザートリップワイヤーを無効化する。
GID00095663	この方向にはこれ以上泳げません。
GID00095665	あなたが導かれて来た座標は、残骸と嵐が吹き荒れる渓谷だった。この向こうにDivideがあるようだ。
GID00095666	Lonesome Roadは経験豊富な運び屋(Level25かそれ以上)向けになっています。コンパニオンを連れていくことはできません。(現地で発見した場合は除く)しかしながら、装備品や持ち物に関しては、あなたは制限を受けることはありません。
GID00095667	もしこの旅が難しすぎる、もしくは補給が必要だと感じた場合、いつでも来た道を引き返しMojaveに戻ることが出来ます。もし準備ができているなら、Divideの嵐の中へ進みなさい...そこで歴史が待っている。
GID00095669	立ち去る
GID00095670	Lonesome Roadを歩む
GID00095671	やあキャンプ愛好者、光を消すんだ!(Pip-Boyを閉じると眠りにつきます)
GID00095673	UlyssesのミサイルはNCRの中枢とCaesar's Legionの支配地域を目標として発射され、都市と人々に核の炎を降らせるでしょう。本当に継続してよろしいですか?
GID00095675	いや。
GID00095676	ああ。
GID00095677	アイボットコントロールステーションへようこそ。
GID00095679	ほうっておく
GID00095680	Eyebotの電源を切断する(Reapir)
GID00095681	Eyebotシャットダウンコマンドを送信する(Science)
GID00095682	ED-Eは物資補給庫の鍵を解除した!
GID00095684	自動注入式スーパースティムパックは使用済み
GID00095686	ミサイル格納庫の電源を復旧させるにはコントロールレバーを操作してください。
GID00095688	この端末は既にカウントダウン・シークエンスにに入っており、中止コードは上書きされています。ミサイルの目標を変えるか、カウントダウンを早めてすぐにミサイルを発射することならできるかもしれません。
GID00095690	コンソールをそのままにしておく。
GID00095691	発射を中止する。
GID00095692	ミサイルをNCRとCaesar's Legionに再設定する。
GID00095693	ミサイルをCaesarの領地に再設定する。
GID00095694	カウントダウンを早め、ミサイルをNCRに発射する。
GID00095695	Lonesome Roadがロードされました。あなたのレベルキャップは5上昇します。
GID00095697	アイボットは無事シャットダウンされました。アイボットのターゲットシステムを再調整しますか?
GID00095698	(Science 100が必要)
GID00095700	そのままにしておく
GID00095701	アイボットのターゲットシステムを再調整する
GID00095702	あなたはDivideに仲間を連れていけません。この道はあなたひとりで歩むべきものです。
GID00095704	Caesar's Legionへのあなたの容赦ない核攻撃は、コロラド川東部の土地をMojaveとの国境線まで焼きつくしました。Cottonwood Coveでは、あなたは焼きつくされたLegionのキャンプが存在したDry Wellsまで川を移動できます。ただしご注意!-そのエリアには、高濃度の放射線にさらされたLegionのグールどもがはびこってますよ!
GID00095705	あなたは Scourge of the East Perkも修得しました。このPerkはあなたのS.P.E.C.I.A.Lのどれかを1ポイント上昇させます。Caesar's Legionの陣営に大打撃を与えたことで、NCRからの好評を得ます。ただし、Caesar's Legionからは悪評を得ます。
GID00095707	NCRへのあなたの容赦ない核攻撃は、カルフォルニアの土地をMojaveとの国境線まで焼きつくしました。Mojave Outpostでは、あなたは西端のゲートを通って、焼きつくされた前哨基地であるLong 15まで旅できます。ただしご注意!-そのエリアには、高濃度の放射線にさらされた元NCRのグールどもがはびこってますよ!
GID00095708	あなたは Bear-Slayer Perkも修得しました。このPerkはあなたのS.P.E.C.I.A.Lのどれかを1ポイント上昇させます。NCRの本拠地を壊滅させたことで、Caesar's Legionからの好評を得ます。ただし、NCRからは悪評を得ます。
GID00095710	パニックを起こした者と逃亡者どもへの嫌悪!
GID00095712	Eyebotシャットダウンコマンドを送信した。
GID00095713	(Science 100が必要)
GID00095715	そのままにしておく
GID00095716	Eyebotシャットダウンコマンドを送信する
GID00095717	Eyebotの電源を切断する(Reapir)
GID00095718	既にバンカーのドアは開いている
GID00095720	合衆国軍 全自動物資補給・修復ステーションへようこそ!次の中から選択してください。
GID00095722	ターミナルを離れる
GID00095723	物資保管庫にアクセス
GID00095724	万能修復インターフェースにアクセス
GID00095725	中止コードは非常に高度な戦前の暗号化技術によって暗号化されています。あなたは時間内に暗号解読機能を備えたロボットを用意する必要があります。
GID00095727	別のことを試す
GID00095728	ED-Eに助けてもらう
GID00095729	このミサイル格納庫は発射準備のため封鎖されています。発射シークエンスが完了するまでは、出入りは禁じられています。
GID00095731	ED-Eはミサイル格納庫のアクセスコントロールの電源を復旧させた。
GID00095733	毒ヘビ咬創用 圧迫帯 を使用
GID00095735	Ulysses はED-Eのコントロールを掌握しました。ED-Eはあなたのコンパニオンから外れ、ED-Eが運んでいた荷物は全てあなたに転送されました。
GID00095737	アイボットコントロールステーションへようこそ。
GID00095739	そのままにしておく
GID00095740	Eyebotの電源を切断する(Repair)
GID00095741	Eyebotシャットダウンコマンドを送信する(Science)
GID00095742	Eyebotの電力供給部分を切断した。
GID00095743	(Repair 100が必要)
GID00095745	そのままにしておく
GID00095746	Eyebotの電源を切断する
GID00095747	Eyebotシャットダウンコマンドを送信する(Science)
GID00095748	Eyebotのシャットダウンに成功、Eyebotのターゲットシステムを再構成しますか?
GID00095749	(Repair 100が必要)
GID00095751	そのままにしておく
GID00095752	Eyebotのターゲットシステムを再構成
GID00095753	このターミナルは既に使用済みだ
GID00095755	メインフレームは軍事レベルの暗号化シークエンスによって保護されています。暗号はED-Eのシステムをアップロードすることにより解除できるようになるはずです。
GID00095757	メインフレームをそのままにしておく
GID00095758	ED-Eにメインフレームを解除するように頼む。
GID00095759	やった、まだ生きてる!(3分間Luck+4)
GID00095761	このコンソールはサイロへの操作接続をコントロールしているが、あなたのハッキング能力を上回って暗号化されている。あなたは先へ進むために暗号を破ることのできる何かを見つけなければならないでしょう。
GID00095763	敵を倒しました!攻撃成功ダンシングタイムです。
GID00095765	あなたはミサイル格納庫のメインフレームにアクセスすることができます。
GID00095766	どうしますか?
GID00095768	メインフレームを放っておく。
GID00095769	ミサイル格納庫のバンカーのドアを開く。
GID00095770	あなたはUlyssesが言っていたレーザー発射装置を発見しました。これはLonesome Roadの周辺に散らばる核弾頭の爆破が可能な、戦前の技術の一部です。あなたはこれを新しい道を切り開いたり、遠距離から敵を始末したり、隠された戦利品を発見するために使用できます。核弾頭の方を向いてトリガーを引き、爆発を観察しましょう。
GID00095771	Ulyssesの言っていたことが真実であれば、あなたは先に進むためにこのレーザー発射装置が必要になります。それは、あなたの進む道を塞いでいる核弾頭が存在するに違いないということを意味します。あなたは正しい核弾頭を発見し、爆破する必要があるでしょう。
GID00095773	あなたはED-EをUlysses' Templeに残してきました-あなたはどんな助けも必要としません。あなたがコンパニオンを連れていないとき、あなたの攻撃は10%多くのダメージを相手に与え、VATSでの命中率が10%上昇します。
GID00095775	アイボットは無事シャットダウンされました。アイボットのターゲットシステムを再調整しますか?
GID00095776	(Scienceが100必要)
GID00095778	放っておく
GID00095779	アイボットのターゲットシステムを再調整する
GID00095780	ED-Eはメインフレームを解除するためにセキュリティコードを使用しました。
