GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc04_note_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00097019	大切な日記、
GID00097020	我々はやったぞ! 我々は死の商人どもが私たちの美しい母なる地球の悲鳴に気付いていたとついに確信した! 私はちょうど基地の司令官と個人的な会談をする機会があった。彼はその機会を長い間待っていたと言ったが、私たちの要求には耳を貸さず、私たちのために特別な何かを用意しようとしていた。それが何なのか待つことはできない-それが完全な核軍縮だと賭けよう!
GID00097021	The Divideの初期偵察は激しい抵抗に遭った。これらのグール-トルーパーたちは連中を“Marked Men”と呼び始めている-は、典型的なフェラル・グールよりも賢い。昨日、我々は連中がデスクローを捕獲するのに使っていたいくつかの戦前の檻を見つけた。何がそのように仕組んだのかは神のみぞ知るが、周囲の惨状から考えて、それらの檻のひとつからデスクローが逃げ出したに違いない。私はそれを発見するまで二重警戒を行なうように命令した。
GID00097022	アイボット・メンテナンス・ベイのステータス:
GID00097023	ポッド1 - 停止中/空き - 電力はメインランチチャンバー内のアイボット製造ポッドに転送されました。
GID00097024	ポッド2 - 作動中/空き
GID00097025	ポッド3 - 停止中/空き - 電力はメインランチチャンバー内のアイボット製造ポッドに転送されました。
GID00097026	神に誓って、この騒音でもう一夜眠ることが出来なかったら、俺は誰かを絞め殺しちまうかも知れん。俺のケツに"パイプを撃ち込む"ような - ここいらのスラムの家主は、たった2時間の睡眠でICBM発射施設全体の安全プロトコルを安易と管理出来るとでも思ってやがるのか?低空飛行をするあの鳥たちのおかげで誰かがキレて、第三次世界大戦が始まらないのは奇跡ってもんだ。
GID00097027	第四レンジャー大隊、カサドレス隊、第三小隊による作戦報告書:Balmoral二等軍曹が記す。我々は地元の部族たちが"the Divide"と呼ぶ地域に到着した。私はここがフーバーダムに隊を派遣するための最適なルートだとは思えない。地形は最悪で、敵性生物の存在が確認されており、ガイガーカウンターの測定音はまるでタービンで動く古時計のようだ。
GID00097028	2300時に上級偵察隊が帰還した時点で完全な報告をするつもりだが、現時点では作戦の中止を推奨する。
GID00097029	基地内の全員に注意:
GID00097030	この通達は基地内の全ての売店ターミナルが同じ中央貯蔵庫から引かれているという事実を諸君らに喚起させるためのものである。あちこちの売店に立ち寄って自分や技官の貴重な時間を無駄にするな。今までのように余分にウィスキーを手に入れられるとは思わないことだ。
GID00097031	- Lansky二等軍曹
GID00097032	「滅多に起こらないことだから心配いらない」だと? もしもさっきの地震が最低でもマグニチュード5.0じゃなかったとしたら、俺はDean Dominoだな。 現在この情報を転送しようとしてる。全体のplaudsfg099io8u8ioi yti xciokghpt8i9io前に
GID00097033	基地内の全員に注意:
GID00097034	まもなく我々は現在最も偉大なアメリカの愛国者の一人であるWellesley将軍をお迎えする。家族のいない者たちのために将軍はビッグマウンテン研究施設との連絡将校を努めてくださる。将軍と彼のチームが訪問するのは我々の"ゲスト"を招集し、ある場所へ移送するためである。パチョリやLSDをキメるよりも、我が祖国に貢献できる場所だ。
GID00097035	Devlin司令
GID00097037	|ミニットマン IX - CONSTANTINE
GID00097038	発射プロトコル 10.77
GID00097039	セキュリティ クリアランス アルファ
