GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_mod_awop_dialogue_en.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00098666	Yeah, that's me and that's my box. Thank you, here take this key and have some caps for the effort.
GID00098667	You look fine to me.
GID00098668	I can help but I don't work for free.
GID00098669	Yeah, just looks like a scratch, but it will still cost you.
GID00098670	You're a right mess, sorry but this is still gonna cost ya.
GID00098671	I don't know how you get in here but I can still help... for a price.
GID00098672	You would not be the first around here. This should be simple enough...
GID00098673	Yeah, that's it... Awesome, everything is still in here. Well, here is the key as promised and some caps for the effort. Thanks again.
GID00098674	OK, if you have any requests just give me a shout.
GID00098675	Hello, my name is Tyra..., Tyra Haggard, nice to meet you.
GID00098676	Goodbye.
GID00098677	Well there is something. There is a ghoul who goes by the name of Blaze, a real pice of shit.
GID00098678	OK, you need party supplies again, you know where to come.
GID00098679	I go by the name Riazanov and I look after the local apartments and fix things in my spare time.
GID00098680	I get a lot of free time to tinker with my electronics on account of I don't get many customers down here.
GID00098681	See Ya.
GID00098682	There is a spare room as it goes but if you want the key then yer gonna have to do me a favor first.
GID00098683	Sure, let me take a look.
GID00098684	Wow, he was still here all along. Thanks for the help... Here take these for the effort...
GID00098685	Hmm, he could be anywhere by now but I have a feeling he never made it out of this town. I'd check the local caves or maybe the Sewer.
GID00098686	I'll mark the locations of a few possibilities on your Pipboy.
GID00098687	Hmm, maybe. When I was first assigned here I had two jobs, first to help maintain order in Goodsrpings.
GID00098688	Second was to track down a Legion spy by the name of Baxter who was last seen in the Saloon.
GID00098689	It's been so long now that Baxter has been pretty much forgotten about but I'm sure HQ would still be interested in his whereabouts.
GID00098690	If you find him and bring me back some proof, preferably his Dog Tags or some other form of ID then I'll make sure you are personally rewarded.
GID00098691	Yeah, A guy turned up in town two weeks back. He'd tunnelled to safety from a local Vault. God knows how. He was in a state of severe shock.
GID00098692	I got a few details out of him. There was something about another Vault launching an attack, then something about giant monsters and squirrels...
GID00098693	He was staying with me until a few days ago when he just left silently in the middle of the night. I have no idea where he went.
GID00098694	Only place I can think of is back to his Vault...
GID00098695	NCR have classified the area as off-limits until they have sufficient troops to check the Vault for supplies.
GID00098696	My guess is that'll never happen but I could still get arrested if I'm seen in the area in the meantime.
GID00098697	I know where his cave entrance is if you wanna check the place out but it sounds like a death trap to me...
GID00098698	Not around here. I think your skills would be of more use elsewhere for the time being.
GID00098699	Good, The Caesar will be pleased. As for your reward I hope this will compensate you for your time.
GID00098700	Well you certainly chose the wrong tunnels to exlore today. This place is a warzone.
GID00098701	According to our interrogations there is a vile poisoner known as Frost who resides in this cesspool of filth.
GID00098702	He's responsible for 90% of the drugs we found in Nipton and The Caesar want's him dead.
GID00098703	Find him and kill him and I'll make sure that you are well rewarded.
GID00098704	Very well, then I suggest you stay out of the way of our bullets.
GID00098705	Go then, there will be time to round up the cowards like you another day.
GID00098706	Good, go now and bring be something to prove when the job is done.
GID00098707	That's great news. We have encountered heavy resistance from the local junkie scum here and are still in combat.
GID00098708	We are purging the junkies and whores from these tunnels. It's proving to be more difficult than I had anticipated.
GID00098709	We have to stay here to clean up, guard these tunnels and see if we can find anything worth salvaging.
GID00098710	Very well...
GID00098711	Well, I do happen to know a recipie which may come in handy out there in the wastes. Here, take it.
GID00098712	...and have a few ingredients on the house. It's not like we're struggling for supplies down here.
GID00098713	Nope, just what's on the menu.
GID00098714	No shit, well it sounds like you wandered into the wrong place at the wrong time... We're in some deep shit here...
GID00098715	Maybe, maybe not, what's the big deal anyway? It's not like people have a high life expectancy around here...
GID00098716	Julie needed the Med-X for her bad back...
GID00098717	The stuff Verona sold in the wastes was just enough to feed the rest of us...
GID00098718	Well it looks like you found us Captain Adventure. Now are you gonna help us out or just get in my way?
GID00098719	These Legion freaks have been slowly killing off our friends. I for one have had enough.
GID00098720	I'm gonna go out there and kill as many as I can and I'll take all the help I can get.
GID00098721	It sounds like you did most of the hard work already. A little mopping up and I'm out of here...
GID00098722	Here, take my master key now in case anything happens. Take anythin' you want... and thanks for helping us out.
GID00098723	I'm getting out of here while I still have the chance...
GID00098724	Typical..., well whatever, just don't get in my way.
