GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_mod_awop_note_en.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00102268	It's been literally less than an hour since the last explosion registered above ground and now or own fucking defenses have turned on us. They have set the whole facility to lockdown. We lived through the end of the world to be destroyed by our own hoarded tech. Robots all over the facility have suddenly turned hostile. How or why I can see so reason. The only outside contractors we hired for this place were Vault-Tec who had nothing to do with the robotics and House Tools and even House was only allowed a minor role in the robots design.
GID00102269	Lifesigns all over the main facility are blinking out. The barracks seem relatively safe so far, there are only a handful of turrets in this area and Daniels is leading an EMP team to take them out from thier blind-spots. That's all well and good but if the main robot force comes this way then we are doomed...
GID00102270	I barely made it out of the range alive today.
GID00102271	The weakest shot was to be used as a live target for the others and I never could stop my hands shaking. It seems like our new Centurion has been taking lessons in authority from Lanius himself.
GID00102272	If Marshal had not shown up when he did I'd be dead now.
GID00102273	I'm just gonna sign up for the Legion Destruct implant. I heard that thing will make a person explode like a frag if they are killed. Then Baculus wont be able to push me around as much.
GID00102274	It sounds like 90% of the Store-room was filled with junk. Bix has dumped most of it outside the Bunker with the broken droids. The teleports are ready to go though and right now we are all mentally preparing ourselves for what may lie ahead. This will be for our first teleport in over five years.
GID00102275	I have no idea what just happened but there has been some kind of huge explosion. Many have been killed, trapped by rubble or caught by shockwaves in our confined conditions. Many of the troops have started to hemorrhage and we do not have the medical facilities down here to deal with them all. Octavius seems unaffected as always and has restored some semblance of order. Our main problem is now we are walled in, in all directions and my Gieger Counter is showing some worrying figures. If we don't get out of here soon, I doubt we ever will...
GID00102276	Yeah, I guess you're right. Oh well, thanks for the advice ol' buddy.
GID00102277	Turns out no-one cares about the computer, all anyone is talking about is how to get out of here. Damn those Vault 41 bastards. And they say we attacked them..., what the hell are they on about? We are low on everything and now Greggs says we'll have to blast our way out. How the hell are we supposed to blast our way out of a nuke proof vault?
GID00102278	The Underground by Roach Part 2
GID00102279	2080-2103: All hell breaks loose. Mutants start pouring into the state from all angles. Raider gangs launch guerrilla offensives against any and all authority figures. Within a year chaos reigns and the gangs begin to fight with each other for territory. I leave Vegas and head towards The Rocky Mountains where I lived for a few years. I figured the area would be pretty rad-free but I was wrong and foolish enough to venture out without a Gieger Counter. I paid the price when my skin began falling off but I lived through it and now I am almost thankful for it. Now I can live as long as I can stay in one piece.
GID00102280	2104-2109: I return to New Vegas after a series of adventures, escapades and various other life affirming incidents and find a new home in The Underground. By this point there was some balance restored to the area. The gangs had settled and The Underground Milita owned their ground and defended it well. They had set up defences in all the buildings around the main office and were recruiting from the locals to guard the place. I signed up for frontline defence. Sniping basically. Not a whole lot of other work available for a Ghoul I quickly found. The locals were a good group though and within a few years I had earned enough to get my own Apartment in the Residential area. Anyway that turned out to be a Shack in an unfinished Sector which we then had to build into a house. There were certain rules back then barring people like me from living amongst the norms. That's another story though. I didn't mind at the time. It was better work than being on the front lines and there were plenty of others like myself who in many ways were worse off because they had so much more to lose.
GID00102281	One of the other Ghouls was a scientist who set about standardising a test for our kind to detect any potential hazards they might cause to norms which the Military officials eventually agreed to. Those of us who passed got to stay in the main Sectors. Those who did not set up homes in unfinished neighbouring sectors and tried to make the best of things together.
GID00102282	2110: After many years of building and saving a steady supply of caps, I return to my pre-war hobby/job of making music.
GID00102283	It looks like Mlix wants to stay a while. I think she's made some friends in that Underground place we visited and has chosen to stick around. I tried to talk her out of it but she was adamant. Anyway it sounds like Tony has the Dimension Portal set up so she can come home at any point. I'll miss her though. If you ever come back and read this Mlix please know that despite retching at almost all our physical contact (like I know you do with everyone) and despite all the times I yelled at you for eating everything in sight I have to say you were the only one I ever really liked and I guess that makes you my best friend. Please come home soon. It's gonna be hell without you back there.
GID00102284	That bastard, he's taken Mary away from me. I don't know what he's done to her, I know she would never even volunteer for one of his crazy experiments but now she's changed. She won't acknowledge me and when I confronted Rotson he looked like he was going for a weapon. I drew my own Pistol but him Mary of all people grabbed me and threw me against the wall. I heard a ripple of noise run through the facility, like a hundred ghouls snarling simultaneously. Mary started moving towards me and I could hear scuffling in the corridor outside, I grabbed my gun and told Rotson to make them all back off or I would shoot him. I don't know what he did but they all just stopped and walked away. He told me to get out and never come back. Well I will, but I'm gonna leave a surprise for that bastard. Next time he greets his precious Mr Handy he's gonna find it's got a few new subroutines in its AI.
