GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_mod_awop_note_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00102268	最後の爆発が地上で観測されてから文字通りまだ1時間も経っていない。そして今、我々自身のすさまじい防衛力に興奮を覚えている。彼らは施設全体を封鎖に設定した。我々は自ら蓄えた技術による世界の終焉を生き延びてみせたのだ。施設のあらゆる場所でロボットたちが突然、敵対し始めている。なぜ、どのようにしてなのか理由は分からない。この場所にいる外部の契約者と言えばVault-Tecだけなのだがロボット工学もHouse Toolsも、House自身でさえロボットの設計には少ししか関わっていないと言うのに。
GID00102269	主要施設のライフサインは全面的に途絶えている。バラックには、役に立つタレットとDanielの率いるEMPチームがその盲点に控えているため比較的安全そうではある。全く結構なことではあるが、もしロボットの主力がこちらに向かってきたら、その時が運命の時だ…
GID00102270	今日もかろうじて生き延びることが出来た。
GID00102271	もっとも臆病なものは他の奴らの生きた標的として使われる慣習があるし、手が震えるのを止められなかった。新しいCenturionはLanius自身の権威を訓戒として持ち出してきてるらしい。
GID00102272	彼が行動したとき、Marshalが現れなかったら私は死んでいたはず。
GID00102273	私はLegion Destructインプラントの契約にサインするつもりだ。話によれば死んだときに、人が手榴弾のごとく爆発するそうだ。そしてBaculusは私にあれこれ指示を出せるようになるのだ。
GID00102274	倉庫にある90%はガラクタにしか見えない。Bixはそのほとんどをバンカーの外に壊れたドロイドともに投棄した。もっとも、テレポートの準備はすでに完了していて、我々は今すぐにでも待ち受けているものに対して精神的な準備を行っている最中だ。これは、5年以上ぶりのテレポートになるのだ。
GID00102275	何が起きたのかはさっぱり分からないが、何か巨大な爆発のようなものがあったらしい。大勢がそれにより殺され、瓦礫に閉じ込められたか、狭い空間の中で衝撃波を受けたようだ。兵たちの大半が出血を伴う傷を負い、我々は彼ら全員を治療できるような医療施設をこの地下には持っていない。Octaviusはいつも通り何にも影響を受けていないようで見た感じでは調子を取り戻したようだ。当面の最大の問題は我々は四方を壁に囲まれている、ということであり、またガイガー・カウンターが気になる数字を見せていることだ。もしすぐにここから出られないとしたら、おそらく永遠に…
GID00102276	ああ、多分君の言うとおりだ。そうだな、助言をありがとう、旧友。
GID00102277	誰もコンピューターの事は気にしてなさそうだ、全員がここからどうやって出ようか話してる。Vault 41のクソ野郎どもめ。それに俺たちが奴らを攻撃したとか言ってたな…、奴らはいったい何の事を言ってるんだ? 俺たちは何もかもが不足してる。そして今、グレッグは出口を爆破しないといけないとか言い出しやがった。核爆発に耐えるVaultの出口をいったいどうやって爆破するって言うんだよ?
GID00102278	The Underground by Roach Part 2
GID00102279	2080-2103: 全ての地獄が解き放たれた。ミュータントはあらゆる角度から国に押し寄せてきた。レイダーの集団は全ての権力に対するゲリラ攻撃を開始した。1年もしないうちに混沌に支配され、ギャングたちは縄張りを求め、抗争を始めた。私はベガスを離れ、以前、数年間住んでいたロッキー山脈へと向かうことにした。そこならばRADから解放されると考えていたのだが、それは間違いで、ガイガーカウンターも持たずに向かった私はとても愚かだった。対価として私の皮膚が剥がれ落ち始めたものの、生き抜くことに成功し、今ではそれに感謝さえしているのだ。今の私は一箇所にとどまりさえすれば長く生きていける。
GID00102280	2104-2109: 私は、一連の冒険と突飛な行動、それから様々な他人の人生を肯定する出来事の後でNew Vegasへと戻り、The Undergroundに新しい故郷を見出した。ある種のバランスが地域に回復したのが決め手となった。ギャングたちは定住を始め、The Underground Militiaは陣地を獲得し、よく防衛していたのだ。彼らはメインオフィス周辺のビル全域に防衛陣地を設置して、地元住民をガードとして雇用していた。私は最前線の防衛として契約を行った。基本任務は狙撃だ。ほかの多くのものはグールである私よりも素早く見つけられなかった。地元民たちはみな気がよく、私は数年の内に居住区に自分のアパートを獲得することが出来たのだ。それにもかかわらず、それは後に建築しなければならない未完成区画の仮小屋だと判明した。私のような人々を除いて普通に協力して生活している人々の間に特有のルールが存在していたらしい。まぁ、それは別の話だ。そのときは気にも留めなかった。それは最前線で働くよりもよい仕事だった。私自身と同じように、多くのものを失い、様々な道で不遇だった人々が沢山いたのだ。
GID00102281	ほかのグールのうちの一人は、それらが原因となり普通の人々に影響を及ぼす潜在的な危険を検知するためのテストの標準化(軍当局が同意せざるを得なかった)を行った科学者だった。そうした我々のようなパスした人々は、メイン区画にとどまることになったのだ。未完成の近隣区画で家を設置できず、事態を共に最大限利用しようと試みた人々。
GID00102282	2110: 何年にも渡る安定したキャップの蓄財の後で、私は戦前の趣味であり仕事であった音楽の作成を再開した。
GID00102283	Mlixはしばらくの滞在を望んでいるらしい。思うに彼女はあのUnderground施設を訪れた時に何人か友人を作ったので、近くにいることを選んだのだろう。説得して思いとどまらせようとしたのだが、決心は固いようだ。とにかく彼女が何時でも帰れるようにTonyが次元ポータルを設置することになった。しかし、彼女が居ないと寂しくなるな。いつか戻ってきてこれを読んだら、Mlix、我々は物理的接触(君が誰にでもそうするような)をすると大抵の場合、吐き気がすること、君が食べている様が視界に入るといつも悲鳴を上げていたにも関わらず、私が未だかつて好きになったのは君だけであり、親友だと考えていることを知っていて欲しい。すぐに帰ってきてくれ。君が居ないだけで故郷はつまらない場所になる。
GID00102284	あの野郎、あいつは俺からメアリーを奪っていった。奴が彼女に何をしたかは知らない、彼女が奴のイカれた実験に志願することはありえないのに彼女は今変わってしまった。彼女は俺を認めない。その上、私がRotsonに立ちはだかったとき、奴は武器を取りに行こうとした。私は自分のピストルを抜いたが、メアリーを含めた全員が私に掴みかかり壁に投げつけたのだ。施設中に騒音のさざ波が立つのを聞いた、100体にも及ぶグールがうなり声をあげている。メアリーが私に向かってきている。そして外側の廊下で乱闘が始まった音が聞こえる。私は銃を掴みRotsonに奴らをさがらせるように言った。なぜ奴が従ったのかは分からないが、連中は全員止まり歩き去っていった。奴は私に立ち去り、二度と戻って来るなと話した。あぁ、私はそうしよう、だが私はあの野郎にびっくりするようなプレゼントを用意してやる。奴が大事な大事なMr. Handyに挨拶するとき、サブルーチンに新しいAIが追加されているのに気づくだろう。
GID00102285	ついに新しい砦を発見した。外で古びたセキュリティドロイドにひょっこり出くわした時は戦闘になるかと思ったんだが。洞窟にはそいつらの残骸が散らばってる。どうやらThe Big Chill以来ずっとオフライン状態のようだ。
GID00102286	この場所は以前に訪れたことのあるどんな場所とも似ていない。中に入ることはとても容易だった。これらのセキュリティカードの再プログラミングすることは、かつて集めたすべてのデータと比べても簡単すぎた。しかし、ここは以前訪れたことのあるどんな砦とも似ていない。ここはある種の私的な研究所に近いといえる。ここの技術をさっと見てみた感じでは、単独のジェネレータで複数のテレポータが稼動していて、合理化と効率化されているようだ。しかし近くで詳細に見たところ、ローカルのテレポートアレイ機材はプロトタイプモデルで、2方向への転送しか行えないものだった。そういったところで、新しいモデルがいつ出るのか予言すら出来なかった我々の状況に違いが生じるわけじゃない。
GID00102287	長所としては、現在のテレポートアレイは未使用な上に完全に機能していて、我々を新しい8箇所もの場所へと連れて行けるのだ。今、Condorが砦の詳細を調査中で、Bixは倉庫を修復して使用可能な兵器庫へと換装中で忙しい。目下のところ、このバンカーを作戦基地として使用していくことになりそうだ。もしこの地域における敵愾心が強かった場合に、この場所へとテレポートで戻れるという意味が生まれてくるだろう。
GID00102288	Liquid Blasted - Plazmatekk EP 2208
GID00102289	Liquid Blasted - Plazmatekk EP 22083つの印象深いトラックがRiazanovの新しいFreetechスタイルであるLiquid Blastedプロジェクトから発表された。
GID00102290	1,「Digital Comrades」は、210bpmのインダストリアル・スネアとワープド・ノイズがビートが落ちる前のイントロから始まり、その後、ボーカルのループが加わる。全体として、堅実な曲作りだ。
GID00102291	2,「Net Stalker」は少し早い220bpmとA面よりも更に一般的ではないノイズのメロディアレンジが特徴となっている。実際、このインスト・トラックはミックスの中で生のスピードコアに少しの弾みを付け加えていて非常に効果的である。
GID00102292	3,「Wicked Games」はストレートなBanginスピードコアだ。240bpmに最近のFreetechの曲としては非常に重いドラムと少しおかしな調律が、ビッグドラムの背後に落ちていき、繰り返し「radiation」を叫ぶボーカルがカットされるまで続く。ナイス。1/3くらいからビートの構成がぐらつき始めて少し薄気味悪くなる。サウンドは避けるべき恐ろしい何かとミックスされたみたいだ。それでも素晴らしい曲である。
GID00102293	8/10
GID00102294	緊急プロトコル177を発動した
GID00102295	町が攻撃に晒されている - ある種の毒ガスが漏出しているようだ。
GID00102296	バンカーのエアフィルターでは除去できない。数名の兵士は既に病気の兆候を見せ始めている。
GID00102297	何時までこの地下で持ちこたえられるかは分からないが、地上に上がるよりかはましだ。それが何故だかは分からないが、15分以上も町からの通信が無いのだ、恐らく致命的な何かだろう。我々に出来るのはこの地下の我々のいる辺りにまで到達する前にガスが霧散することを祈ることだけだ。
GID00102298	未だにBixから知らせがない。もう3つの砦からの回収作戦に成功して戻ってきたというのに、彼の合図はどこにも存在しなかった。Condorは前に押し進むべきだと言う。それが、彼を見つけるための一番の方法だと。私は確信が持てない。Vault-Tecオフィスは、我々が単独で対処するにはあまりにも敵愾心が強すぎる。Bixがもしここにいたとしたら、あのロボットたちに対処する方法を見つけ出していただろう。私がCondorを愛し、信頼するのと同じくらいに、この次のテレポートに未だに非常に悪い感じを持っている。普段なら、彼は私に耳を傾けてくれるけど、彼の動機は理解している。彼が正しければいいのに。
GID00102299	エピソード2:歴史
GID00102301	エピソード3:趣味
GID00102303	エピソード3:カレー
GID00102305	エピソード5:フィルム
GID00102307	エピソード5:命
GID00102309	エピソード7:契約
GID00102311	エピソード8:敵
GID00102314	Eメール:djmystro1@hotmail.com
GID00102315	Dj Promo - Battling Ignorance 2208
GID00102316	Dj Promo - Battling Ignorance 2208素晴らしい2トラックがキックドラムキングのPromoことSir Hoffから登場だ。両方のトラックともにより大きく大胆なドラムが他の何よりも特徴的でナイスだ。
