GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_mod_brzl_dialogue_en.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00104384	Sure, fine, gimme a stimpak. It'll sure be a big fucking advantage when one these assholes blows my goddamned head off!
GID00104385	Yeah, fine, I'll have a stimpak. May as well live a few more shitty hours until some raiders or something show up and kill me.
GID00104386	Eh, I'm kind used to puttin' needles in me, what's the worst that could happen?
GID00104387	Sure, I could use a little pick-me-up.
GID00104388	Ben - Lets Go Response 1
GID00104389	Ben - Lets Go Response 2
GID00104390	Waiting.
GID00104391	I'll be right here.
GID00104392	Right behind you.
GID00104393	Alright, no time to waste.
GID00104394	Let me know when you need me.
GID00104395	Ok, I'll be waiting.
GID00104396	Yeah, right behind you.
GID00104397	Okay. Just take it easy, okay?
GID00104398	I'm supposed to sit around, while y'all have all the fun?
GID00104399	Right. Waiting here is no problem.
GID00104400	Okay. I'm right behind you.
GID00104401	Right.
GID00104402	Sure, no problem.
GID00104403	I'll try to stay out of sight.
GID00104404	Aw, you should have seen it! I killed three super mutant behemoths while you were gone. Three. What did you do?
GID00104405	Fuck yes, I'm bored outta my fucking mind over here!
GID00104406	Oh, right, I was just about to take a hit of... eh, forget it. Let's go.
GID00104407	Got desperate, yeah? Need the aid of the adventurer extraordinaire Johnny fucking Matheson? Let's go.
GID00104408	Sure, no problem.
GID00104409	Yeah, whatever meng. See you when you get back.
GID00104410	Sure, leave the unstable drug addict orphan alone for a while. That'll work out just fine.
GID00104411	Right here? Just stand here? In this one fucking spot? Indefinitely? I guess I could just take some buffout to pass the time, but still.
GID00104412	Yeah, fine, go on without me. If you think you can survive without my goddamn awesome skills.
GID00104413	Yeah, yeah, I'm moving.
GID00104414	I was thinking the same thing.
GID00104415	Try not to get lost in the meantime.
GID00104416	Don't keep me waiting forever.
GID00104417	So, that's where your true loyalties lie. Listen, you're the biggest and best fighter we have in this hole in the ground.
GID00104418	You're brave, and in peace you earned my trust and respect. Now I'm going to give you one last chance. Fall in now, or die a traitor to your country.
GID00104419	It's in the right lung. I made it this far... Then I passed out. I'm not gonna make it. I know the signs.
GID00104420	You gotta fight your way through this. I'll be okay.
GID00104421	Oh, they're on the side of the server upstairs, let me show you. Follow me.
GID00104422	John isn't as... perceptive as I am. I know a soldier when I see one, even when they don't know it themselves.
GID00104423	I am not simply a Security Officer, I am a lieutenant. When it is time to fight, my place is beside my men, making sure that my troops survive.
GID00104424	If I haven't done well in teaching them to listen, then I will fail in that mission.
GID00104425	What have you learned of me so far?
GID00104426	System Status Menu:
GID00104427	System Status Menu:
GID00104428	Ha! Well, you probably should have thought of that at the beginning!
GID00104429	It's no problem, kid. You don't have to grow up overnight. If you look around I'm sure there are some science textbooks and magazines laying around.
GID00104430	Oh. Is that so? I guess you won the shortlist for that lottery. Why'd you wanna pick to work up here in the dark?
GID00104431	[SUCCEEDED] What in the--
GID00104432	[FAILED] I don't hear anything. Quit dicking around! Are you going to put on this uniform or not?
GID00104433	Naw, kid... That bastard Bragg shot me. Got me square in the lung.
GID00104434	I made it this far... Then I passed out. I'm not gonna make it, kid. I know the signs. You gotta stay smart, and do good work. I'll be okay.
GID00104435	Yeah. I don't know why. This vault is totally calm and really a nice place. I don't see how anyone could be unhappy down here.
GID00104436	This started about an hour ago. There was an explosion in the transformer down the hall. All the lights went out, and the doors opened...
GID00104437	Then Bragg and his thugs started flushing people from their apartments. It was total chaos...
GID00104438	Somebody tried to stop them, then the shooting began... Jamie and I weren't waiting 'til they came for us. We started to fight back...
GID00104439	Dr. Rossman just vanished through a hole in his bedroom wall! We haven't seen him in over an hour! ...I hope he made it through okay.
GID00104440	We built these barricades and set up our defenses with Sergeant Norman's directions. We've been fighting alone ever since.
GID00104441	Let's go.
GID00104442	Get going, everyone.
GID00104443	On your feet people!
GID00104444	Get up, we're on the move again!
GID00104445	Woo! Party time!
GID00104446	Yeah! Let's get 'em! Ow ow owww!
GID00104447	Hey guys, let's get ready to go. Come on.
GID00104448	Lets go, team! Haha. I guess it's good to say that again.
GID00104449	Johnny - Group Let's Go Response 1
GID00104450	Johnny - Group Let's Go Response 2
GID00104451	Okay, time to pack up the circus.
GID00104452	Kira this, Kira that. I'm not some shitty servant of yours.
GID00104453	[SUCCEEDED] Well, it means I haven't seen you much lately. I miss hanging out with you while I work. I feel better having you here.
GID00104454	You went on that football tangent, and we haven't had time to talk. Why did you try out for Bragg's team anyway? He hates you.
GID00104455	[FAILED] What? Haha, I meant just that. Don't look too deep into it, Star. I was just being... nice. You're sweet and all, but we're just friends.
GID00104456	[SUCCEEDED] Right, whatever. There are plastic explosives in the hall by that crate, and a set of bobby pins and a screwdriver in the box beside it.
GID00104457	Just pick it or blow it open before the crazy bastard gets us all killed!
GID00104458	Now go!
GID00104459	[FAILED] You moron!
GID00104460	Do you have any idea the dangerous shit you are playing with? This vault is sitting on a 500 ton nuclear reactor -
GID00104461	If he triggers that self-destruct it will kill us all!
GID00104462	Think again!
GID00104463	There are many ways that I will train you. Physically, and mentally. You're a born soldier, and that makes you my perfect match.
GID00104464	For now, you should ask John what he would have you do.
GID00104465	Oh? Did she? What kind of "list"?
GID00104466	Maintenance Menu:
GID00104467	Maintenance Menu:
GID00104468	Post-apocalyptic politics is what happened. Dumb lawyers doing an engineer's job.
GID00104469	Once upon a time, Vault 18 was supposed to be the center of the American wasteland. We had this big machine at the core of that promise.
GID00104470	But the Great War screwed that up quick. What wasn't blown to hell in about 30 minutes has been scavenged and sacked for small settlements.
GID00104471	You see, the network was a set of cables running all over the country, and this server kept the vaults connected.
GID00104472	But, one by one, the others have failed. Some were destroyed, others just vanished. Then one day, 18 years ago, they all just blinked out.
GID00104473	When the first Overseer, a guy named Clint Dickson, took over Vault 18, he severed the links to the outside. Said it was a toxic influence.
GID00104474	He kept a few cables alive, but severed the rest. It's just been just little updates ever since, until they all stopped a few years ago.
GID00104475	Now we just have what's left for you to play with. Hope you spot where those weird I/O spikes are coming from.
GID00104476	Exploring? What for? didn't you just play a game of football?
GID00104477	Don't leave me here too long.
