GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_mod_brzl_dialogue_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00104384	勿論、元気だ、スティムパックをくれ。私のクソッタレ頭がこの屁で吹っ飛ぶ時、そいつは確かにクソでかい強みだ。
GID00104385	ああ、元気だ、スティムパックを頼む。いくつかのレイダーか何かが現れて私を殺すより、少しのさらにくだらない時間を生きたほうがましだ。
GID00104386	えっ私は針を私に入れることに慣れていて優しい。起こった最悪の事態は何だ?
GID00104387	勿論、迎えに来てもらえると嬉しいよ。
GID00104388	Ben - 応答しよう 1
GID00104389	Ben - 応答しよう 2
GID00104390	待機する。
GID00104391	いつでもここにいるよ。
GID00104392	真後ろにいる。
GID00104393	了解、遊んでる暇は無いな。
GID00104394	私が必要な時は教えてくれ。
GID00104395	オーケー、待ってるよ。
GID00104396	はい、真後ろにいます。
GID00104397	オーケー、気楽に行こう、オーケー?
GID00104398	あなた達が楽しんでいる間、私が無駄に動き回ると思うのか?
GID00104399	わかった、ここで待つのに問題は無い。
GID00104400	オーケー、私はあなたの真後ろにいるよ。
GID00104401	わかった。
GID00104402	もちろん、問題無い。
GID00104403	見つからないように待ってるよ。
GID00104404	おい、あんたは見るべきだった!あなたが去るまでに3体のスーパーミュータントベヒモスを殺した。3体だ。あんたは何をした?
GID00104405	くそ、ああ、こっちは気が狂いそうなくらい退屈だよ!
GID00104406	オー、わかった、ちょうど今吸おうと思ってたところだっ...あ、今のは忘れてくれ、さあ行こう。
GID00104407	耐えられなかったか?並外れたクソ冒険家のJohnny Mathesonの応急手当が必要か?さあ行くぞ。
GID00104408	わかった、問題無い。
GID00104409	あー、くだらねえな、あんた。あんたが戻ったらまた会おう。
GID00104410	当然だがしばらく不安定な麻薬常用者孤児を放っておいてくれ。それでなんとかなって元気になるよ。
GID00104411	ここで?ただここで立って?このクソな場所で?無期限に?それでもやっぱり私は待つために何個かのバファウトを使うだろうね。
GID00104412	ああ、元気だ、私無しで行ってくれ。もし私の素晴らしくクソッタレな技術無しで生き残れると思うならな。
GID00104413	ああ、そうさ、移動中だ。
GID00104414	私も同じ事を考えていた。
GID00104415	その間は迷子にならないでくれ。
GID00104416	私を永遠に待たせ続けないでくれ。
GID00104417	そう、お前が真に忠誠を誓うべき場所だ。聞くのだ、お前は我々がこの穴倉で得られた最大にして最良の戦士なのだ。
GID00104418	お前は勇敢であり、私は信頼と尊敬とを安心して与えられる。ゆえに私はお前に最後のチャンスを与えようと思う。投降せよ、さもなくばお前は故郷の裏切者として死ぬことになる。
GID00104419	右の肺の辺りを撃たれた。ここまでやってきて... それから気を失った。私は失敗したようだ。兆候はわかっている。
GID00104420	君はこれを乗り越えて戦わなければな。私は大丈夫だ。
GID00104421	ああ、彼らは二階のサーバーの側にいる。見せたいものがある。ついてこい。
GID00104422	Johnとしては違う...私は知覚しているが。私は1つを見るとき、彼らが自分たちでそれを知らないときでさえ、兵士を知っている。
GID00104423	私は単に警備長ではない、私は大尉だ。 戦闘時、私の部下のそばが私の場所だ。そして私の軍隊が生き残ることを確認する。
GID00104424	彼らが耳を傾ける教育がうまく行かなかった場合、私はその任務に失敗するだろう。
GID00104425	私からこれまでに何を学んだ?
GID00104426	システムステータスメニュー:
GID00104427	システムステータスメニュー:
GID00104428	ハ! さて、恐らくおまえは最初にそのことを考えるべきだった!
GID00104429	それは問題じゃないぞ、坊や。おまえは一晩で一人前にならなくて良い。 お前が見まわせば、何冊かの科学関係の本と雑誌が散乱しているだろう。
GID00104430	おぉ。そうなのか? 君が抽選で候補リストを勝ち取ったんじゃとワシは思うよ。君は何故この暗闇の中の仕事を選びたいのかの?
GID00104431	[成功]何の中で--
GID00104432	[失敗]私は何も聞かない。時間を無駄にすることはやめてくれ! この制服を着るつもりか?
GID00104433	良くないな...Braggのクソッタレから撃たれた。肺へ真っ直ぐにな。
