GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_mod_brzl_name_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00108454	ミッションヒルズトレーラー
GID00108455	ミッションヒルズトレーラー
GID00108456	アシュリー
GID00108458	ソイル ストラディバリウス
GID00108459	ワークベンチ
GID00108460	アトミックダーツガン
GID00108464	箱
GID00108465	門
GID00108474	フットボール選手
GID00108475	フットボール選手
GID00108476	フットボール選手
GID00108477	フットボール選手
GID00108480	FEV Vault
GID00108494	Mr. Zatoichi
GID00108500	サバイバリストレイダー
GID00108501	サバイバリストレイダー
GID00108502	サバイバリストレイダー
GID00108503	サバイバリストレイダー
GID00108504	サバイバリストレイダー
GID00108505	サバイバリストレイダー
GID00108506	サバイバリストレイダー
GID00108507	サバイバリストレイダー
GID00108508	サバイバリストレイダー
GID00108509	サバイバリストレイダー
GID00108510	サバイバリストレイダー
GID00108511	サバイバリストレイダー
GID00108512	サバイバリストレイダー
GID00108513	サバイバリストレイダー
GID00108514	サバイバリストレイダー
GID00108515	サバイバリストレイダー
GID00108516	サバイバリストレイダー
GID00108517	警備ロボ
GID00108518	警備ロボ
GID00108519	プロテクトロン
GID00108520	ロボブレイン
GID00108521	Mr.ガッツィー 
GID00108522	戦闘用アイボット
GID00108523	サバイバリストレイダー
GID00108524	サバイバリストレイダー
GID00108525	サバイバリストレイダー
GID00108526	サバイバリストレイダー
GID00108527	サバイバリストレイダー
GID00108528	救急箱
GID00108529	弾薬箱
GID00108533	エンクレイブ ストームトルーパー
GID00108534	エンクレイブ ストームトルーパー
GID00108535	タレットコントロールターミナル
GID00108536	Vaultドア
GID00108537	ターミナル
GID00108538	プロテクトロン
GID00108539	Vault 18 ロボティクスコンピューター
GID00108540	プロテクトロン
GID00108541	ドア
GID00108553	Vault 18 下層居住区
GID00108554	ドア
GID00108561	タックルするか避けるか?
GID00108567	Bruiserの服
GID00108568	ボブルヘッド - Agility
GID00108569	ボブルヘッド - Enduranc
GID00108570	ボブルヘッド - Big Guns
GID00108575	レイダー
GID00108576	レイダー
GID00108577	レイダー
GID00108578	レイダー
GID00108579	レイダー
GID00108580	レイダー
GID00108581	レイダー
GID00108582	レイダー
GID00108583	レイダー
GID00108584	レイダー
GID00108585	レイダー
GID00108586	レイダー
GID00108587	レイダー
GID00108588	レイダー
GID00108589	レイダー
GID00108590	レイダー
GID00108591	レイダー
GID00108592	レイダー
GID00108593	レイダー
GID00108594	レイダー
GID00108595	レイダー
GID00108596	レイダー
GID00108597	レイダー
GID00108598	レイダー
GID00108599	レイダー
GID00108600	レイダー
GID00108601	レイダー
GID00108602	レイダー
GID00108603	レイダー
GID00108604	レイダー
GID00108605	レイダー
GID00108606	レイダー
GID00108607	レイダー
GID00108608	レイダー
GID00108609	レイダー
GID00108610	レイダー
GID00108611	レイダー
GID00108612	レイダー
GID00108613	レイダー
GID00108614	レイダー
GID00108615	レイダー
GID00108616	レイダー
GID00108617	レイダー
GID00108618	レイダー
GID00108619	レイダー
GID00108620	レイダー
GID00108621	レイダー
GID00108622	レイダー
GID00108623	レイダー
GID00108624	レイダー
GID00108625	レイダー
GID00108626	レイダー
GID00108627	レイダー
GID00108628	レイダー
GID00108629	レイダー
GID00108630	レイダー
GID00108631	レイダー
GID00108632	レイダー
GID00108633	レイダー
GID00108634	レイダー
GID00108635	レイダー
GID00108636	レイダー
GID00108637	レイダー
GID00108638	レイダー
GID00108639	レイダー
GID00108640	レイダー
GID00108641	レイダー
GID00108642	レイダー
GID00108643	レイダー
GID00108644	レイダー
GID00108645	レイダー
GID00108646	レイダー
GID00108647	レイダー
GID00108648	レイダー
GID00108649	レイダー
GID00108650	レイダー
GID00108651	レイダー
GID00108652	レイダー
GID00108653	レイダー
GID00108654	レイダー
GID00108655	レイダー
GID00108656	レイダー
GID00108657	レイダー
GID00108658	レイダー
GID00108659	レイダー
GID00108660	レイダー
GID00108661	レイダー
GID00108662	レイダー
GID00108663	レイダー
GID00108664	射撃ダメージ
GID00108665	持久力チェッカー
GID00108666	バトルフロアスイッチ
GID00108667	ファイア!!
GID00108668	死んだ愛国者
GID00108669	Annai Oran
GID00108670	William M Face
GID00108672	パワーアーマーの説明書
GID00108673	A.L.P.H.A.弾薬供給
GID00108674	パワーアーマー 101
GID00108682	Ben Kurtz
GID00108683	Eric Campbell
GID00108684	Kira Mann
GID00108685	Jenifer Hale 
GID00108686	コレクションズ オフィサー
GID00108687	コレクションズ オフィサー
GID00108688	コレクションズ オフィサー
GID00108689	コレクションズ オフィサー
GID00108690	社会保障責任者
GID00108691	Jeniferのダイアログ
GID00108692	グループフォロワーダイアログ
GID00108693	Johnny Mathesonのダイアログ
GID00108694	Kira Mannのダイアログ
GID00108699	Benのダイアログ
GID00108700	Ericのダイアログ
GID00108701	Jamieのダイアログ
GID00108702	傭兵服 グランド
GID00108703	Eric
GID00108704	Jamie 
GID00108705	Jenifer
GID00108706	Johnny
GID00108707	Kira
GID00108708	グループコマンド
GID00108715	グループコマンド
GID00108716	グループコマンド
GID00108717	グループコマンド
GID00108718	ようこそ!素晴らしきNew Vegasへ!
GID00108719	Athensの家
GID00108720	監督官のターミナル
GID00108721	パインヘイブン病院
GID00108722	ドア
GID00108723	エンクレイブ ストームトルーパー
GID00108724	Player Starting Cell
GID00108725	『Project Brazil』ニューゲームスタートアップ
GID00108726	座標
GID00108727	タックルするか避けるか?
GID00108728	どちらのゲームで遊びますか?
GID00108729	ハンドラジオ
GID00108730	Jennifer Silver 
GID00108731	ブラジルのオフィスデスク
GID00108732	リンカーン記念館のポスター
GID00108733	傭兵服
GID00108734	Carina Tabin
GID00108740	Vit-o-matic 活力テスター
GID00108741	Kremp Fitzguard
GID00108742	Roger Rohr 
GID00108743	Vaultドアコントロールポッド
GID00108744	ベット
GID00108745	ダイニングチェア
GID00108746	ダイニングチェア
GID00108747	ヒーリングアーチ
GID00108754	戦前の春服
GID00108755	ステルスリコンヘルメット
GID00108756	ザ ピーパース
GID00108757	中国軍ステルスヘルメット
GID00108759	コンテナ
GID00108760	スーパーミュータント
GID00108761	ドア
GID00108762	キャプテンの椅子
GID00108763	Vault 18妊婦用ジャンプスーツ
GID00108764	Vault 18ジャンプスーツ
GID00108765	Vault 18警備アーマー
GID00108766	Vault 18警備ヘルメット
GID00108772	Vaultセキュリティー
GID00108773	Vaultセキュリティー
GID00108774	エンクレイヴ パトリオット
GID00108779	ジェイミーキャンベル
GID00108780	エンクレイヴ パトリオット
GID00108781	Vault 18 下層居住区
GID00108782	Vault 18 アトリウム
GID00108783	スパナ
GID00108784	MPLXノヴァサージ
GID00108786	密造酒
GID00108790	デスク
GID00108791	キャビネット
GID00108792	ゴミ箱
GID00108793	メールボックス
GID00108794	鉄の箱
GID00108795	自動販売機
GID00108796	オーブン
GID00108797	冷蔵庫
GID00108798	スーツケース
GID00108799	警戒用ロボブレイン
GID00108800	小屋のドア
GID00108801	防風ドア
GID00108802	ドア
GID00108811	プロテクトロン
GID00108812	プロテクトロン
GID00108813	ボール
GID00108814	ママ
GID00108817	ドア
GID00108818	ポニーテールのファン
GID00108821	Annai有機栽培農園
GID00108832	タレット MK.VIII 
GID00108833	タレット MK.VIII 
GID00108834	ドア
GID00108835	ドア
GID00108836	ハッチ
GID00108840	ベルチバード
GID00108841	エンクレイヴ・ソルジャー
GID00108842	エンクレイヴ・ソルジャー
GID00108843	エンクレイヴ・ヘルファイアトルーパー
GID00108844	エンクレイヴ・ヘルファイアトルーパー
GID00108845	レーザー
GID00108846	プロテクトロン 工場
GID00108847	ドア
GID00108848	火打ち石
GID00108849	シャベル
GID00108850	溶接銃
GID00108851	社会福祉役員
GID00108852	社会福祉役員
GID00108853	社会福祉役員
GID00108863	ドア
GID00108864	ドア
GID00108865	ゲート
GID00108866	ドア
GID00108867	ドア
GID00108868	ドア
GID00108869	ドア
GID00108870	ドア
GID00108871	マンホール
GID00108872	ドア
GID00108873	ドア
GID00108874	中国軍アサルトライフル
GID00108875	中国軍ピストル
GID00108876	コンバットショットガン
GID00108877	アサルトライフル
GID00108878	中国軍将校の剣
GID00108879	ハイウェイマンズフレンド
GID00108880	監督官のターミナル
GID00108881	デスクターミナル
GID00108882	デスクターミナル
GID00108888	メールボックス
GID00108889	ベッド
GID00108890	ベッド
GID00108891	ベンチ
GID00108892	ベンチ
GID00108893	ベンチ
GID00108894	ダイニングチェア
GID00108895	イス
GID00108896	イス
GID00108897	クイーンサイズベッド
GID00108898	ベッド
GID00108899	クイーンサイズベッド
GID00108900	ポッド
GID00108901	イス
GID00108902	自分のベッド
GID00108903	ベッド
GID00108904	ドア
GID00108905	メタルゲート
GID00108906	ドア
GID00108908	ドア
GID00108909	ドア
GID00108910	ドア
GID00108911	ドア
GID00108912	ハッチ
GID00108913	ハッチ
GID00108914	ドア
GID00108915	ケージのついたドア
GID00108916	ドア
GID00108917	ドア
GID00108918	ドア
GID00108924	ドア
GID00108925	ドア
GID00108926	ドア
GID00108927	ドア
GID00108928	ハッチ
GID00108929	メンテナンス・プロテクトロン
GID00108930	ミレルークケーキ
GID00108931	ラジオ
GID00108932	Vaultのドア
GID00108935	ボブルヘッド - Melee Weapons
GID00108936	ハロルドの心臓
GID00108937	ラジオ
GID00108938	マイクロフュージョン・セル
GID00108939	ラジオ
GID00108942	ガスバルブ
GID00108943	スイッチ
GID00108947	ドア
GID00108949	Dr.ロスマン
GID00108950	Vault 18 上層居住区
GID00108951	Vault 18 警備事務所
GID00108952	ディスプレイターミナル
GID00108953	受付
GID00108962	Vault 18 下層貯水池
GID00108964	Vault 18 ロボット研究所
GID00108966	Albert Christianson 監督官
GID00108969	Vault 18 配管通路
GID00108970	ドア
GID00108971	Vaultセキュリティー
GID00108972	Vaultセキュリティー
GID00108973	Vaultセキュリティー
GID00108988	Vault 18マニュアルネットワークアクセスI
GID00108989	Vault 18マニュアルネットワークアクセスII
GID00108991	V18 水耕栽培研究所の鍵
GID00109011	Vault 18ダイアログ 前編
GID00109012	オタクのスーパースター
GID00109017	Vaultセキュリティー
GID00109018	Vaultセキュリティー
