GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_mod_brzl_note_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00110086	接続しています…テキストを表示します。ポート16 Vault 43 エラー: 404 - サーバを停止しました。
GID00110088	Vault-tecからの自動信号。核の打ち上げを検出 - 指令注文001を開始します。
GID00110089	Wastland 偵察任務報告書第214号    - Dr.KYOTO
GID00110090	この作戦は Los Angeles の破滅を引き起こす。
GID00110094	彼女は私がL.A.の遺跡に彼女を残した理由を尋ねた..私は気にせず忘れてと言った。
GID00110095	私は彼女の死を望む。
GID00110096	接続しています…テキストを表示します。ポート11 Vault 76 エラー: 404 - サーバを停止しました。
GID00110098	接続しています…テキストを表示します。ポート16 Vault 122 エラー: 404 - サーバを停止しました。
GID00110099	こちらはSergeant Eliasの代行です、偵察作戦ゼロからの報告をします。我々がBig Bear Bridgeの遺跡を偵察時、我々の部隊の大部分は3日目にして失いました。我々は閃光手榴弾で戦意喪失した我々を囲んだ重武装の男の一団に遭遇しました。私は無意識にされ再び目を覚ますまでの間のいくつかのポイントで、Officer JakesとSgt. Danversは敵対的な攻撃者として銃撃戦を始めましたが、即処刑されました。Officer Trakesと私は何とか森林へと逃げましたが、我々が川を横断中にTrakesは銃殺されました。私は左肩に軽く撃たれ死を免れました。彼らは私のユニフォームと武器を私から奪い取り岸部に私を置き去りにしていきました。奴隷の居留地からの女性が数時間後に私を起こして、Vaultの扉に私を案内してくれました。我々は彼女を保護し私は我々の医務室で長期滞在を楽しませて頂きました。
GID00110100	アメリカ空軍 Daniel Adams 二等兵
GID00110101	2077年10月23日14:22
GID00110102	ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー
GID00110103	忌々しいドアはロックされ、核シェルターHASは、反対側に移動する必要があります。
GID00110108	私はちょうど鍵を持っていて、PersoeとWilliamsは現在、あそこに向かっている。
GID00110109	私はその地獄で何が起こっているのかわからないが、何もするつもりはない
GID00110112	ログ終了 14:25
GID00110113	エラー!AFB NETWORKから切断された!!
GID00110114	停電エラー>>>予備電源稼働中
GID00110115	接続しています…テキストを表示します。ポート16 Vault 82 エラー: 404 - サーバを停止しました。
GID00110116	排気管のメンテナンスに関する取扱説明書。様々な種類のパワーアーマーの修理及び取り付け方に関して。
GID00110125	接続しています…テキストを表示します。ポート16 Vault 19 エラー: 404 - サーバを停止しました。
GID00110127	Old Robotics Lab のドアは開いた。
GID00110130	Wastland 偵察任務報告書第112号    - Dr.KYOTO
GID00110132	私とDr.KyotoはVault18を3週間前に離れ、今だけ戻ってきている。私はDr.RossmanとSgt.NormanとYetti Haleと同行していた。
GID00110134	このメッセージに従うと、我々は旅の記録に画像を残せます。
GID00110136	2077年6月3日
GID00110137	外科手術記録 1
GID00110147	解決のための動物実験
GID00110148	Dr.Richard White
GID00110156	Wastland 偵察任務報告書第289号    - Dr.Rossman
GID00110169	接続しています…テキストを表示します。ポート16 Vault 118 エラー: 404 - サーバを停止しました。
GID00110170	接続しています…テキストを表示します。ポート16 Vault 119 エラー: 404 - サーバを停止しました。
GID00110171	接続しています…テキストを表示します。ポート42 Vault 8 エラー: 404 - サーバを停止しました。
GID00110172	Wastland 偵察任務報告書第176号    - DALE NORMAN 軍曹
GID00110186	Jamieの考えすぎでなければ良いのだけれど
GID00110187	Scouting report no 169:BOSスカウトがこのエリアに渡ってきたらしい。捜索のためのキャンプを設立しているとの事だ。BOSは戦前の技術を手に入れる為なら強硬な手段をも辞さないという。彼らはvaultの安全に対する脅威となり得ることを報告する。
GID00110189	こんにちは、まだ見ぬ未来のロボット使いさん。私はDr. Kyoto、科学者およびVault18所属のウェイストランド・スカウトです。あなたがこれを読んでいるなら、私の病はきっと取り返しのつかない状態だろう。私の大切な友人、B-6-RKはまだロボティクス研究室にいるだろうか。
GID00110190	私たちが巡回ミッションを勤めている最中に、地元民が私に近づいてきた。その男の手袋には緑色の液体が塗られているのに気付いて振り払ったけれどもう遅かった。その毒物によって私は病気になりました。更にその後、Vaultへの帰還途中でも攻撃された。 B-6-RKは安全に私を運んでくれたが、その途中で自分自身をに傷を負った。
GID00110191	私がB-6-RKを造ったのは、このvaultに動物が一匹もいなかったから。私は子供たちを幸せにするために子供たちの友人を造ろうとした。彼らの成長を見守り、そして守ってくれるようなロボットにしようと、ユニオンシティで取引した古い部品をサルベージして、私は彼女を作成しました。
GID00110192	あなたにもし知識と技術があるなら、彼女を修復してください。彼女が修復された後にこれらの3つのコマンドを有効にし、彼女のオペレーティングシステムを再起動させてください。この奇妙なウイルスが私を殺すかもしれないが、私の仕事は彼女を通して生きていける。ありがとう。
GID00110195	あなたは、広大な、特徴のない都市の景観の中にいる。高層ビルは雲がCyberdynamics産業と呼ばれる不吉な要塞尖塔の周りに集まりそして北に伸びる。路地を東へ行けば旧ロボティクス研究室につながる。道路南側は賑やかなダウンタウンにつながる。 Hovercarsはフーリガンという薄いハッカーが暗闇の中で灰色のクローク市民の群衆の中での電子のライトの輝く亡霊のように立って西の立体駐車場にいるという。
GID00110197	接続しています…テキストを表示します。ポート16 Vault 16 エラー: 404 - サーバを停止しました。
GID00110199	接続しています…テキストを表示します。ポート16 Vault 81 エラー: 404 - サーバを停止しました。
GID00110200	接続しています…テキストを表示します。ポート16 Vault 88 エラー: 404 - サーバを停止しました。
GID00110210	接続しています…テキストを表示します。ポート16 Vault 3 エラー: 404 - サーバを停止しました。
GID00110226	Optimal at 100 TB/sec.
GID00110227	Primary connection to:
